date,hour,temprature,precip_prob,wind_speed
5/28/2017,20,19.4,0,2.6
5/29/2017,20,13.9,0,1.5
5/30/2017,20,14.4,0,4.1
5/31/2017,20,23.9,0,2.1
6/1/2017,20,24.4,0,5.1
6/2/2017,20,23.3,0.03,0
6/3/2017,20,22.2,0,4.6
6/4/2017,20,16.1,0,2.6
6/5/2017,20,18.9,0,2.6
6/6/2017,20,13.3,0,3.1
6/7/2017,20,19.4,0,0
6/8/2017,20,17.8,0,1.5
6/9/2017,20,26.7,0,3.1
6/10/2017,20,28.9,0,2.6
6/11/2017,20,31.7,0,2.6
6/12/2017,20,33.3,0,1.5
6/13/2017,20,33.3,0,2.1
6/14/2017,20,25.6,0,2.1
6/15/2017,20,22.2,0,3.6
6/16/2017,20,19.4,0,2.6
6/17/2017,20,22.2,0,0
6/18/2017,20,27.8,0,0
6/19/2017,20,25,0.84,0
6/20/2017,20,26.7,0,2.6
6/21/2017,20,27.8,0,3.1
6/22/2017,20,27.2,0,0
6/23/2017,20,27.2,0,2.6
6/24/2017,20,27.8,0,1.5
6/25/2017,20,25,0,2.1
6/26/2017,20,23.3,0,3.1
6/27/2017,20,23.3,0,0
6/28/2017,20,25.6,0,3.1
6/29/2017,20,26.7,0,4.1
6/30/2017,20,30.6,0,3.6
7/1/2017,20,26.1,0,2.6
7/2/2017,20,30,0,3.1
7/3/2017,20,21.7,1,1.5
7/4/2017,20,26.7,0,0
7/5/2017,20,26.1,0,3.1
7/6/2017,20,23.9,0,1.5
7/7/2017,20,26.1,0,2.6
7/8/2017,20,27.8,0,0
7/9/2017,20,27.2,0,0
7/10/2017,20,27.2,0,2.6
7/11/2017,20,28.9,0,3.1
7/12/2017,20,30.6,0,5.1
7/13/2017,20,29.4,0,4.1
7/14/2017,20,20.6,0.13,2.1
7/15/2017,20,28.3,0,2.1
7/16/2017,20,27.8,0,2.6
7/17/2017,20,27.2,0,3.1
7/18/2017,20,28.9,0,3.6
7/19/2017,20,32.8,0,0
7/20/2017,20,32.2,0,1.5
7/21/2017,20,32.2,0,2.6
7/22/2017,20,31.7,0,0
7/23/2017,20,24.4,0,2.1
7/24/2017,20,20.6,0,1.5
7/25/2017,20,21.7,0,0
7/26/2017,20,23.3,0,1.5
7/27/2017,20,23.3,0,1.5
7/28/2017,20,27.2,0,0
7/29/2017,20,23.3,0,2.6
7/30/2017,20,26.7,0,3.1
7/31/2017,20,30,0,0
8/1/2017,20,30,0,2.1
8/2/2017,20,22.8,0.03,4.1
8/3/2017,20,27.2,0,3.1
8/4/2017,20,27.2,0,0
8/5/2017,20,25,0,4.1
8/6/2017,20,23.9,0,3.1
8/7/2017,20,18.3,0.2,0
8/8/2017,20,24.4,0,1.5
8/9/2017,20,26.7,0,0
8/10/2017,20,26.7,0,0
8/11/2017,20,24.4,0,2.1
8/12/2017,20,24.4,0,2.1
8/13/2017,20,27.8,0,0
8/14/2017,20,25.6,0,2.6
8/15/2017,20,22.8,0,0
8/16/2017,20,28.3,0,0
8/17/2017,20,25.6,0,0
8/18/2017,20,26.7,0,2.6
8/19/2017,20,28.9,0,2.1
8/20/2017,20,27.2,0,2.6
8/21/2017,20,28.9,0,1.5
8/22/2017,20,31.1,0,2.6
8/23/2017,20,26.1,0,4.1
8/24/2017,20,25.6,0,2.1
8/25/2017,20,23.3,0,2.1
8/26/2017,20,24.4,0,3.1
8/27/2017,20,23.9,0,3.1
8/28/2017,20,22.8,0,4.1
8/29/2017,20,17.8,0.13,3.6
8/30/2017,20,24.4,0,2.1
8/31/2017,20,25,0,0
9/1/2017,20,21.1,0,2.6
9/2/2017,20,18.9,0,3.1
9/3/2017,20,20.6,0,3.6
9/4/2017,20,25.6,0,0
9/5/2017,20,28.3,0,2.6
9/6/2017,20,17.2,0,2.6
9/7/2017,20,21.1,0,3.1
9/8/2017,20,21.1,0,2.1
9/9/2017,20,18.9,0,3.1
9/10/2017,20,21.7,0,2.6
9/11/2017,20,23.9,0,0
9/12/2017,20,25.6,0,0
9/13/2017,20,21.7,0.15,0
9/14/2017,20,23.3,0.05,1.5
9/15/2017,20,27.2,0,0
9/16/2017,20,26.1,0,1.5
9/17/2017,20,25.6,0,2.1
9/18/2017,20,22.2,0,2.6
9/19/2017,20,21.1,0.18,0
9/20/2017,20,25.6,0,3.1
9/21/2017,20,26.7,0,3.1
9/22/2017,20,26.7,0,3.6
9/23/2017,20,30,0,4.1
9/24/2017,20,31.1,0,2.1
9/25/2017,20,29.4,0,2.6
9/26/2017,20,27.2,0,1.5
9/27/2017,20,28.9,0,2.6
9/28/2017,20,23.3,0,0
9/29/2017,20,19.4,0,1.5
9/30/2017,20,15.6,0,3.6
10/1/2017,20,19.4,0,0
10/2/2017,20,21.1,0,0
10/3/2017,20,18.3,0,1.5
10/4/2017,20,23.9,0,2.1
10/5/2017,20,27.2,0,0
10/6/2017,20,25.6,0,2.6
10/7/2017,20,24.4,0,1.5
10/8/2017,20,25,0,0
10/9/2017,20,23.3,0.03,1.5
10/10/2017,20,26.1,0,2.6
10/11/2017,20,21.7,0,2.6
10/12/2017,20,16.7,0,4.6
10/13/2017,20,18.3,0,2.6
10/14/2017,20,21.7,0,0
10/15/2017,20,21.7,0,0
10/16/2017,20,13.3,0,1.5
10/17/2017,20,14.4,0,0
10/18/2017,20,20.6,0,2.1
10/19/2017,20,20.6,0,4.1
10/20/2017,20,22.2,0,2.1
10/21/2017,20,22.8,0,1.5
10/22/2017,20,21.1,0,1.5
10/23/2017,20,21.7,0,1.5
10/24/2017,20,20,0.05,0
10/25/2017,20,17.2,0,0
10/26/2017,20,12.8,0,2.1
10/27/2017,20,15.6,0,1.5
10/28/2017,20,18.3,0,1.5
10/29/2017,20,17.8,0.41,3.1
10/30/2017,20,12.8,0,3.6
10/31/2017,20,12.8,0,1.5
11/1/2017,20,13.3,0,1.5
11/2/2017,20,21.1,0,3.1
11/3/2017,20,22.8,0,2.6
11/4/2017,20,12.2,0,2.6
11/5/2017,20,14.4,0.03,0
11/6/2017,20,17.8,0,0
11/7/2017,20,7.2,0,4.1
11/8/2017,20,8.9,0,0
11/9/2017,20,11.7,0,1.5
11/10/2017,20,0.6,0,5.1
11/11/2017,20,2.2,0,2.1
11/12/2017,20,7.2,0,1.5
11/13/2017,20,8.3,0,2.6
11/14/2017,20,7.2,0,2.6
11/15/2017,20,8.9,0,2.1
11/16/2017,20,11.1,0,5.1
11/17/2017,20,8.3,0,3.6
11/18/2017,20,10.6,0,2.6
11/19/2017,20,7.8,0,6.7
11/20/2017,20,7.8,0,3.6
11/21/2017,20,13.3,0,2.1
11/22/2017,20,8.3,0,4.1
11/23/2017,20,5.6,0,1.5
11/24/2017,20,9.4,0,1.5
11/25/2017,20,13.3,0,0
11/26/2017,20,7.2,0,3.1
11/27/2017,20,10,0,3.1
11/28/2017,20,10.6,0,0
11/29/2017,20,15,0,4.6
11/30/2017,20,8.9,0,1.5
12/1/2017,20,9.4,0,2.6
12/2/2017,20,8.3,0,0
12/3/2017,20,8.3,0,1.5
12/4/2017,20,9.4,0,0
12/5/2017,20,15.6,0,3.1
12/6/2017,20,6.1,0,4.1
12/7/2017,20,6.7,0,2.6
12/8/2017,20,2.8,0,0
12/9/2017,20,-0.6,0.15,2.1
12/10/2017,20,3.3,0,4.1
12/11/2017,20,3.9,0,3.6
12/12/2017,20,6.7,0,3.1
12/13/2017,20,-1.1,0,5.1
12/14/2017,20,-1.7,0,5.1
12/15/2017,20,-4.4,0.05,2.6
12/16/2017,20,2.8,0,3.1
12/17/2017,20,2.8,0,2.1
12/18/2017,20,7.2,0,0
12/19/2017,20,12.8,0,2.1
12/20/2017,20,6.1,0,4.6
12/21/2017,20,3.9,0,2.6
12/22/2017,20,9.4,0,2.1
12/23/2017,20,8.3,0,0
12/24/2017,20,3.9,0,4.1
12/25/2017,20,1.1,0,6.7
12/26/2017,20,-2.8,0,3.6
12/27/2017,20,-4.4,0,3.1
12/28/2017,20,-7.8,0,4.1
12/29/2017,20,-6.1,0,4.1
12/30/2017,20,-5,0,3.6
12/31/2017,20,-10,0,4.1
1/1/2018,20,-7.8,0,2.31
1/2/2018,20,-3.9,0,5.61
1/3/2018,20,-1.7,0,0.4
1/4/2018,20,-4.5,0,9.2
1/5/2018,20,-8.9,0,8.04
1/6/2018,20,-11.1,0,5.51
1/7/2018,20,-8.3,0,4.23
1/8/2018,20,-1.1,0,3.69
1/9/2018,20,5.6,0,2.01
1/10/2018,20,3.9,0,0.49
1/11/2018,20,11.7,0,0.44
1/12/2018,20,14.4,0.96,1.48
1/13/2018,20,-0.6,0,6.56
1/14/2018,20,-5,0,4.63
1/15/2018,20,-1.7,0,1.04
1/16/2018,20,1.7,0,0.63
1/17/2018,20,-0.1,0,4.82
1/18/2018,20,0,0,0.94
1/19/2018,20,2.8,0,0.76
