date,hour,hourQuarter,count_pickup,count_return,day_of_week,historical_average_pickup,historical_average_return,monthly_historical_average_pickup,monthly_historical_average_return
2018-01-01,0,0,0,0,0,0.2857142857142857,0.8571428571428571,0.25,0.85
2018-01-01,0,1,0,0,0,0.5238095238095238,0.5238095238095238,0.55,0.5
2018-01-01,1,0,0,2,0,0.19047619047619047,0.6666666666666666,0.2,0.7
2018-01-01,1,1,0,2,0,0.14285714285714285,0.3333333333333333,0.15,0.3
2018-01-01,2,0,0,0,0,0.09523809523809523,0.047619047619047616,0.1,0.0
2018-01-01,2,1,1,0,0,0.14285714285714285,0.42857142857142855,0.15,0.45
2018-01-01,3,0,0,0,0,0.14285714285714285,0.14285714285714285,0.15,0.15
2018-01-01,3,1,0,0,0,0.6190476190476191,0.0,0.65,0.0
2018-01-01,4,0,0,0,0,0.42857142857142855,0.047619047619047616,0.45,0.05
2018-01-01,4,1,0,0,0,0.14285714285714285,0.0,0.15,0.0
2018-01-01,5,0,0,0,0,0.5238095238095238,0.09523809523809523,0.55,0.1
2018-01-01,5,1,0,0,0,0.2857142857142857,0.09523809523809523,0.3,0.05
2018-01-01,6,0,0,0,0,0.47619047619047616,0.19047619047619047,0.5,0.15
2018-01-01,6,1,0,0,0,2.3333333333333335,0.38095238095238093,2.2,0.35
2018-01-01,7,0,0,0,0,4.380952380952381,0.47619047619047616,4.35,0.5
2018-01-01,7,1,0,1,0,6.476190476190476,1.4285714285714286,6.1,1.4
2018-01-01,8,0,0,0,0,9.380952380952381,2.2857142857142856,8.65,2.25
2018-01-01,8,1,0,1,0,8.761904761904763,1.0,8.45,1.0
2018-01-01,9,0,0,0,0,4.666666666666667,0.9523809523809523,4.85,1.0
2018-01-01,9,1,0,0,0,2.857142857142857,1.1904761904761905,2.85,1.1
2018-01-01,10,0,1,0,0,1.7142857142857142,0.8571428571428571,1.8,0.9
2018-01-01,10,1,1,0,0,2.1904761904761907,1.8571428571428572,2.2,1.8
2018-01-01,11,0,0,0,0,1.8095238095238095,1.619047619047619,1.75,1.55
2018-01-01,11,1,1,0,0,2.0476190476190474,1.4285714285714286,2.1,1.5
2018-01-01,12,0,0,0,0,1.1904761904761905,1.4761904761904763,1.2,1.5
2018-01-01,12,1,0,1,0,1.7142857142857142,2.0,1.7,1.95
2018-01-01,13,0,0,0,0,1.7142857142857142,1.619047619047619,1.75,1.55
2018-01-01,13,1,0,0,0,2.3333333333333335,2.5238095238095237,2.3,2.6
2018-01-01,14,0,1,1,0,1.9047619047619047,2.8095238095238093,1.9,2.6
2018-01-01,14,1,1,0,0,2.857142857142857,2.5238095238095237,2.75,2.45
2018-01-01,15,0,1,0,0,2.0,3.0952380952380953,2.05,3.15
2018-01-01,15,1,0,0,0,2.4285714285714284,3.3333333333333335,2.35,3.3
2018-01-01,16,0,0,0,0,3.0476190476190474,3.2857142857142856,3.0,3.2
2018-01-01,16,1,1,0,0,2.5238095238095237,4.380952380952381,2.6,4.25
2018-01-01,17,0,1,1,0,3.0952380952380953,4.9523809523809526,3.15,4.85
2018-01-01,17,1,0,2,0,2.238095238095238,6.0,2.2,5.7
2018-01-01,18,0,1,0,0,3.1904761904761907,7.857142857142857,3.0,7.55
2018-01-01,18,1,0,0,0,2.0476190476190474,8.80952380952381,2.1,8.2
2018-01-01,19,0,1,2,0,1.6666666666666667,7.619047619047619,1.6,7.95
2018-01-01,19,1,0,1,0,1.380952380952381,5.428571428571429,1.4,5.55
2018-01-01,20,0,0,0,0,2.3333333333333335,3.619047619047619,2.0,3.7
2018-01-01,20,1,0,0,0,1.9047619047619047,2.7142857142857144,1.9,2.45
2018-01-01,21,0,0,0,0,1.4761904761904763,2.761904761904762,1.4,2.75
2018-01-01,21,1,0,0,0,0.47619047619047616,2.1904761904761907,0.45,2.25
2018-01-01,22,0,0,1,0,0.5714285714285714,1.5238095238095237,0.55,1.5
2018-01-01,22,1,0,1,0,0.5714285714285714,2.0952380952380953,0.55,2.15
2018-01-01,23,0,0,0,0,1.0,1.6666666666666667,0.7,1.55
2018-01-01,23,1,0,0,0,0.8571428571428571,1.619047619047619,0.75,1.65
2018-01-02,0,0,0,0,1,0.2727272727272727,0.8181818181818182,0.23809523809523808,0.8095238095238095
2018-01-02,0,1,0,0,1,0.5,0.5,0.5238095238095238,0.47619047619047616
2018-01-02,1,0,0,0,1,0.18181818181818182,0.7272727272727273,0.19047619047619047,0.7619047619047619
2018-01-02,1,1,0,0,1,0.13636363636363635,0.4090909090909091,0.14285714285714285,0.38095238095238093
2018-01-02,2,0,0,0,1,0.09090909090909091,0.045454545454545456,0.09523809523809523,0.0
2018-01-02,2,1,0,0,1,0.18181818181818182,0.4090909090909091,0.19047619047619047,0.42857142857142855
2018-01-02,3,0,0,0,1,0.13636363636363635,0.13636363636363635,0.14285714285714285,0.14285714285714285
2018-01-02,3,1,0,0,1,0.5909090909090909,0.0,0.6190476190476191,0.0
2018-01-02,4,0,0,0,1,0.4090909090909091,0.045454545454545456,0.42857142857142855,0.047619047619047616
2018-01-02,4,1,0,0,1,0.13636363636363635,0.0,0.14285714285714285,0.0
2018-01-02,5,0,0,0,1,0.5,0.09090909090909091,0.5238095238095238,0.09523809523809523
2018-01-02,5,1,0,0,1,0.2727272727272727,0.09090909090909091,0.2857142857142857,0.047619047619047616
2018-01-02,6,0,0,0,1,0.45454545454545453,0.18181818181818182,0.47619047619047616,0.14285714285714285
2018-01-02,6,1,0,0,1,2.227272727272727,0.36363636363636365,2.0952380952380953,0.3333333333333333
2018-01-02,7,0,7,0,1,4.181818181818182,0.45454545454545453,4.142857142857143,0.47619047619047616
2018-01-02,7,1,4,1,1,6.181818181818182,1.4090909090909092,5.809523809523809,1.380952380952381
2018-01-02,8,0,1,1,1,8.954545454545455,2.1818181818181817,8.238095238095237,2.142857142857143
2018-01-02,8,1,0,0,1,8.363636363636363,1.0,8.047619047619047,1.0
2018-01-02,9,0,3,2,1,4.454545454545454,0.9090909090909091,4.619047619047619,0.9523809523809523
2018-01-02,9,1,0,0,1,2.727272727272727,1.1363636363636365,2.7142857142857144,1.0476190476190477
2018-01-02,10,0,0,0,1,1.6818181818181819,0.8181818181818182,1.7619047619047619,0.8571428571428571
2018-01-02,10,1,1,2,1,2.1363636363636362,1.7727272727272727,2.142857142857143,1.7142857142857142
2018-01-02,11,0,1,0,1,1.7272727272727273,1.5454545454545454,1.6666666666666667,1.4761904761904763
2018-01-02,11,1,0,0,1,2.0,1.3636363636363635,2.0476190476190474,1.4285714285714286
2018-01-02,12,0,0,0,1,1.1363636363636365,1.4090909090909092,1.1428571428571428,1.4285714285714286
2018-01-02,12,1,0,0,1,1.6363636363636365,1.9545454545454546,1.619047619047619,1.9047619047619047
2018-01-02,13,0,0,0,1,1.6363636363636365,1.5454545454545454,1.6666666666666667,1.4761904761904763
2018-01-02,13,1,0,0,1,2.227272727272727,2.409090909090909,2.1904761904761907,2.4761904761904763
2018-01-02,14,0,0,0,1,1.8636363636363635,2.727272727272727,1.8571428571428572,2.5238095238095237
2018-01-02,14,1,0,0,1,2.772727272727273,2.409090909090909,2.6666666666666665,2.3333333333333335
2018-01-02,15,0,0,0,1,1.9545454545454546,2.9545454545454546,2.0,3.0
2018-01-02,15,1,0,1,1,2.3181818181818183,3.1818181818181817,2.238095238095238,3.142857142857143
2018-01-02,16,0,1,1,1,2.909090909090909,3.1363636363636362,2.857142857142857,3.0476190476190474
2018-01-02,16,1,2,1,1,2.4545454545454546,4.181818181818182,2.5238095238095237,4.0476190476190474
2018-01-02,17,0,1,4,1,3.0,4.7727272727272725,3.0476190476190474,4.666666666666667
2018-01-02,17,1,1,4,1,2.1363636363636362,5.818181818181818,2.0952380952380953,5.523809523809524
2018-01-02,18,0,1,2,1,3.090909090909091,7.5,2.9047619047619047,7.190476190476191
2018-01-02,18,1,1,5,1,1.9545454545454546,8.409090909090908,2.0,7.809523809523809
2018-01-02,19,0,1,4,1,1.6363636363636365,7.363636363636363,1.5714285714285714,7.666666666666667
2018-01-02,19,1,1,3,1,1.3181818181818181,5.2272727272727275,1.3333333333333333,5.333333333333333
2018-01-02,20,0,4,4,1,2.227272727272727,3.4545454545454546,1.9047619047619047,3.5238095238095237
2018-01-02,20,1,5,3,1,1.8181818181818181,2.590909090909091,1.8095238095238095,2.3333333333333335
2018-01-02,21,0,0,4,1,1.4090909090909092,2.6363636363636362,1.3333333333333333,2.619047619047619
2018-01-02,21,1,1,0,1,0.45454545454545453,2.090909090909091,0.42857142857142855,2.142857142857143
2018-01-02,22,0,0,3,1,0.5454545454545454,1.5,0.5238095238095238,1.4761904761904763
2018-01-02,22,1,1,0,1,0.5454545454545454,2.0454545454545454,0.5238095238095238,2.0952380952380953
2018-01-02,23,0,0,0,1,0.9545454545454546,1.5909090909090908,0.6666666666666666,1.4761904761904763
2018-01-02,23,1,0,0,1,0.8181818181818182,1.5454545454545454,0.7142857142857143,1.5714285714285714
2018-01-03,0,0,0,0,2,0.2608695652173913,0.782608695652174,0.22727272727272727,0.7727272727272727
2018-01-03,0,1,0,1,2,0.4782608695652174,0.4782608695652174,0.5,0.45454545454545453
2018-01-03,1,0,0,0,2,0.17391304347826086,0.6956521739130435,0.18181818181818182,0.7272727272727273
2018-01-03,1,1,0,1,2,0.13043478260869565,0.391304347826087,0.13636363636363635,0.36363636363636365
2018-01-03,2,0,0,0,2,0.08695652173913043,0.043478260869565216,0.09090909090909091,0.0
2018-01-03,2,1,0,0,2,0.17391304347826086,0.391304347826087,0.18181818181818182,0.4090909090909091
2018-01-03,3,0,0,0,2,0.13043478260869565,0.13043478260869565,0.13636363636363635,0.13636363636363635
2018-01-03,3,1,0,0,2,0.5652173913043478,0.0,0.5909090909090909,0.0
2018-01-03,4,0,0,0,2,0.391304347826087,0.043478260869565216,0.4090909090909091,0.045454545454545456
2018-01-03,4,1,0,0,2,0.13043478260869565,0.0,0.13636363636363635,0.0
2018-01-03,5,0,0,0,2,0.4782608695652174,0.08695652173913043,0.5,0.09090909090909091
