date,hour,hourQuarter,count_pickup,count_return,day_of_week,historical_average_pickup,historical_average_return,monthly_historical_average_pickup,monthly_historical_average_return
2018-01-01,0,0,0,0,0,0.8571428571428571,0.6666666666666666,0.9,0.6
2018-01-01,0,1,0,0,0,0.3333333333333333,0.19047619047619047,0.3,0.2
2018-01-01,1,0,0,0,0,0.3333333333333333,0.2857142857142857,0.3,0.3
2018-01-01,1,1,0,1,0,0.19047619047619047,0.047619047619047616,0.2,0.05
2018-01-01,2,0,0,0,0,0.19047619047619047,0.09523809523809523,0.2,0.1
2018-01-01,2,1,0,0,0,0.047619047619047616,0.0,0.05,0.0
2018-01-01,3,0,0,0,0,0.09523809523809523,0.0,0.1,0.0
2018-01-01,3,1,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,4,0,0,0,0,0.047619047619047616,0.19047619047619047,0.05,0.2
2018-01-01,4,1,0,0,0,0.047619047619047616,0.5238095238095238,0.05,0.55
2018-01-01,5,0,0,0,0,0.14285714285714285,0.14285714285714285,0.15,0.15
2018-01-01,5,1,0,0,0,0.38095238095238093,1.1904761904761905,0.4,1.25
2018-01-01,6,0,0,0,0,0.42857142857142855,0.9523809523809523,0.35,0.9
2018-01-01,6,1,0,0,0,1.1904761904761905,2.619047619047619,1.25,2.7
2018-01-01,7,0,0,0,0,1.9047619047619047,3.5714285714285716,1.95,3.45
2018-01-01,7,1,0,0,0,4.380952380952381,5.619047619047619,4.4,5.5
2018-01-01,8,0,0,0,0,6.523809523809524,11.380952380952381,6.2,11.2
2018-01-01,8,1,0,0,0,8.095238095238095,16.238095238095237,7.9,15.75
2018-01-01,9,0,0,0,0,6.714285714285714,14.619047619047619,6.45,14.55
2018-01-01,9,1,0,0,0,6.9523809523809526,9.285714285714286,6.75,8.55
2018-01-01,10,0,1,1,0,4.666666666666667,5.857142857142857,4.55,5.7
2018-01-01,10,1,0,1,0,5.428571428571429,5.761904761904762,5.45,5.8
2018-01-01,11,0,3,1,0,5.666666666666667,5.476190476190476,5.6,5.6
2018-01-01,11,1,1,0,0,7.428571428571429,6.095238095238095,7.2,6.05
2018-01-01,12,0,2,2,0,6.380952380952381,7.9523809523809526,6.35,7.75
2018-01-01,12,1,0,1,0,7.238095238095238,7.285714285714286,7.3,7.35
2018-01-01,13,0,0,0,0,7.333333333333333,7.0,7.35,6.8
2018-01-01,13,1,1,1,0,8.476190476190476,7.523809523809524,8.1,7.35
2018-01-01,14,0,1,2,0,8.047619047619047,6.285714285714286,7.55,6.3
2018-01-01,14,1,3,1,0,7.666666666666667,6.428571428571429,7.6,6.2
2018-01-01,15,0,2,1,0,6.333333333333333,7.238095238095238,6.25,6.95
2018-01-01,15,1,2,1,0,6.9523809523809526,7.142857142857143,6.9,7.15
2018-01-01,16,0,1,0,0,8.857142857142858,8.428571428571429,8.75,8.3
2018-01-01,16,1,1,0,0,8.761904761904763,8.761904761904763,8.75,8.85
2018-01-01,17,0,1,3,0,12.285714285714286,9.428571428571429,11.45,9.0
2018-01-01,17,1,0,1,0,11.857142857142858,10.380952380952381,11.9,9.95
2018-01-01,18,0,0,2,0,15.571428571428571,9.904761904761905,14.9,9.45
2018-01-01,18,1,0,0,0,12.380952380952381,9.333333333333334,11.6,9.05
2018-01-01,19,0,1,0,0,9.428571428571429,6.9523809523809526,9.2,6.8
2018-01-01,19,1,4,2,0,8.333333333333334,6.0,8.45,5.75
2018-01-01,20,0,0,1,0,5.476190476190476,4.809523809523809,5.3,4.75
2018-01-01,20,1,1,1,0,4.904761904761905,4.142857142857143,4.75,4.05
2018-01-01,21,0,0,0,0,4.476190476190476,3.2857142857142856,4.45,3.15
2018-01-01,21,1,2,0,0,3.5714285714285716,2.2857142857142856,3.6,2.3
2018-01-01,22,0,0,0,0,2.238095238095238,1.619047619047619,2.25,1.55
2018-01-01,22,1,0,0,0,1.0952380952380953,1.1428571428571428,1.1,1.15
2018-01-01,23,0,0,0,0,0.9523809523809523,1.3333333333333333,0.9,1.25
2018-01-01,23,1,0,0,0,1.2380952380952381,0.7142857142857143,1.2,0.75
