date,hour,count_pickup,count_return,day_of_week,historical_average_pickup,historical_average_return,monthly_historical_average_pickup,monthly_historical_average_return
2017-08-01,0,1,1,1,,,,
2017-08-01,1,0,0,1,,,,
2017-08-01,2,0,0,1,,,,
2017-08-01,3,0,0,1,,,,
2017-08-01,4,0,0,1,,,,
2017-08-01,5,3,0,1,,,,
2017-08-01,6,10,0,1,,,,
2017-08-01,7,31,5,1,,,,
2017-08-01,8,35,9,1,,,,
2017-08-01,9,12,5,1,,,,
2017-08-01,10,4,4,1,,,,
2017-08-01,11,7,7,1,,,,
2017-08-01,12,11,12,1,,,,
2017-08-01,13,4,8,1,,,,
2017-08-01,14,9,9,1,,,,
2017-08-01,15,13,11,1,,,,
2017-08-01,16,10,14,1,,,,
2017-08-01,17,12,29,1,,,,
2017-08-01,18,12,26,1,,,,
2017-08-01,19,11,25,1,,,,
2017-08-01,20,4,4,1,,,,
2017-08-01,21,8,8,1,,,,
2017-08-01,22,2,2,1,,,,
2017-08-01,23,1,1,1,,,,
2017-08-02,0,2,2,2,1.0,1.0,,
2017-08-02,1,3,2,2,0.0,0.0,,
2017-08-02,2,0,1,2,0.0,0.0,,
2017-08-02,3,0,0,2,0.0,0.0,,
2017-08-02,4,0,0,2,0.0,0.0,,
2017-08-02,5,2,0,2,3.0,0.0,,
2017-08-02,6,21,1,2,10.0,0.0,,
2017-08-02,7,21,2,2,31.0,5.0,,
2017-08-02,8,32,5,2,35.0,9.0,,
2017-08-02,9,3,3,2,12.0,5.0,,
2017-08-02,10,15,7,2,4.0,4.0,,
2017-08-02,11,0,2,2,7.0,7.0,,
2017-08-02,12,10,4,2,11.0,12.0,,
2017-08-02,13,3,1,2,4.0,8.0,,
2017-08-02,14,9,5,2,9.0,9.0,,
2017-08-02,15,7,9,2,13.0,11.0,,
2017-08-02,16,6,16,2,10.0,14.0,,
2017-08-02,17,6,10,2,12.0,29.0,,
2017-08-02,18,10,22,2,12.0,26.0,,
2017-08-02,19,13,14,2,11.0,25.0,,
2017-08-02,20,3,3,2,4.0,4.0,,
2017-08-02,21,5,4,2,8.0,8.0,,
2017-08-02,22,4,4,2,2.0,2.0,,
2017-08-02,23,3,4,2,1.0,1.0,,
2017-08-03,0,2,2,3,1.5,1.5,,
2017-08-03,1,0,0,3,1.5,1.0,,
2017-08-03,2,0,0,3,0.0,0.5,,
2017-08-03,3,0,0,3,0.0,0.0,,
2017-08-03,4,0,0,3,0.0,0.0,,
2017-08-03,5,3,0,3,2.5,0.0,,
2017-08-03,6,3,2,3,15.5,0.5,,
2017-08-03,7,21,4,3,26.0,3.5,,
2017-08-03,8,23,3,3,33.5,7.0,,
2017-08-03,9,5,9,3,7.5,4.0,,
2017-08-03,10,8,5,3,9.5,5.5,,
2017-08-03,11,5,4,3,3.5,4.5,,
2017-08-03,12,4,6,3,10.5,8.0,,
2017-08-03,13,4,2,3,3.5,4.5,,
2017-08-03,14,6,11,3,9.0,7.0,,
2017-08-03,15,11,15,3,10.0,10.0,,
2017-08-03,16,9,4,3,8.0,15.0,,
2017-08-03,17,18,34,3,9.0,19.5,,
2017-08-03,18,26,44,3,11.0,24.0,,
2017-08-03,19,8,10,3,12.0,19.5,,
2017-08-03,20,11,11,3,3.5,3.5,,
2017-08-03,21,9,9,3,6.5,6.0,,
2017-08-03,22,3,0,3,3.0,3.0,,
2017-08-03,23,8,11,3,2.0,2.5,,
2017-08-04,0,2,2,4,1.6666666666666667,1.6666666666666667,,
2017-08-04,1,1,0,4,1.0,0.6666666666666666,,
2017-08-04,2,0,1,4,0.0,0.3333333333333333,,
2017-08-04,3,0,0,4,0.0,0.0,,
2017-08-04,4,0,0,4,0.0,0.0,,
2017-08-04,5,3,1,4,2.6666666666666665,0.0,,
2017-08-04,6,2,2,4,11.333333333333334,1.0,,
2017-08-04,7,3,1,4,24.333333333333332,3.6666666666666665,,
2017-08-04,8,16,4,4,30.0,5.666666666666667,,
2017-08-04,9,19,4,4,6.666666666666667,5.666666666666667,,
2017-08-04,10,7,3,4,9.0,5.333333333333333,,
2017-08-04,11,6,8,4,4.0,4.333333333333333,,
2017-08-04,12,11,7,4,8.333333333333334,7.333333333333333,,
2017-08-04,13,6,7,4,3.6666666666666665,3.6666666666666665,,
2017-08-04,14,11,16,4,8.0,8.333333333333334,,
2017-08-04,15,11,11,4,10.333333333333334,11.666666666666666,,
2017-08-04,16,12,21,4,8.333333333333334,11.333333333333334,,
2017-08-04,17,6,30,4,12.0,24.333333333333332,,
2017-08-04,18,20,20,4,16.0,30.666666666666668,,
2017-08-04,19,14,13,4,10.666666666666666,16.333333333333332,,
2017-08-04,20,7,9,4,6.0,6.0,,
2017-08-04,21,3,3,4,7.333333333333333,7.0,,
2017-08-04,22,3,3,4,3.0,2.0,,
2017-08-04,23,1,1,4,4.0,5.333333333333333,,
2017-08-05,0,4,4,5,,,,
2017-08-05,1,3,3,5,,,,
2017-08-05,2,2,2,5,,,,
2017-08-05,3,0,0,5,,,,
2017-08-05,4,2,2,5,,,,
2017-08-05,5,0,0,5,,,,
2017-08-05,6,0,0,5,,,,
2017-08-05,7,5,0,5,,,,
2017-08-05,8,5,3,5,,,,
2017-08-05,9,13,7,5,,,,
2017-08-05,10,17,9,5,,,,
2017-08-05,11,28,12,5,,,,
2017-08-05,12,16,13,5,,,,
2017-08-05,13,12,14,5,,,,
2017-08-05,14,16,15,5,,,,
2017-08-05,15,7,10,5,,,,
2017-08-05,16,21,17,5,,,,
2017-08-05,17,11,20,5,,,,
2017-08-05,18,13,18,5,,,,
2017-08-05,19,17,12,5,,,,
2017-08-05,20,5,14,5,,,,
2017-08-05,21,6,17,5,,,,
2017-08-05,22,2,12,5,,,,
2017-08-05,23,6,5,5,,,,
2017-08-06,0,2,4,6,4.0,4.0,,
2017-08-06,1,2,3,6,3.0,3.0,,
2017-08-06,2,1,2,6,2.0,2.0,,
2017-08-06,3,1,0,6,0.0,0.0,,
2017-08-06,4,1,2,6,2.0,2.0,,
2017-08-06,5,0,0,6,0.0,0.0,,
2017-08-06,6,0,1,6,0.0,0.0,,
2017-08-06,7,1,1,6,5.0,0.0,,
2017-08-06,8,5,3,6,5.0,3.0,,
2017-08-06,9,8,4,6,13.0,7.0,,
2017-08-06,10,15,6,6,17.0,9.0,,
2017-08-06,11,16,9,6,28.0,12.0,,
2017-08-06,12,31,17,6,16.0,13.0,,
2017-08-06,13,17,14,6,12.0,14.0,,
2017-08-06,14,21,31,6,16.0,15.0,,
2017-08-06,15,20,34,6,7.0,10.0,,
2017-08-06,16,18,20,6,21.0,17.0,,
2017-08-06,17,28,15,6,11.0,20.0,,
2017-08-06,18,11,25,6,13.0,18.0,,
2017-08-06,19,19,23,6,17.0,12.0,,
2017-08-06,20,11,12,6,5.0,14.0,,
2017-08-06,21,3,13,6,6.0,17.0,,
2017-08-06,22,0,2,6,2.0,12.0,,
2017-08-06,23,2,2,6,6.0,5.0,,
2017-08-07,0,2,2,0,1.75,1.75,,
2017-08-07,1,0,0,0,1.0,0.5,,
2017-08-07,2,0,0,0,0.0,0.5,,
2017-08-07,3,0,0,0,0.0,0.0,,
2017-08-07,4,0,0,0,0.0,0.0,,
2017-08-07,5,1,0,0,2.75,0.25,,
2017-08-07,6,8,0,0,9.0,1.25,,
2017-08-07,7,10,5,0,19.0,3.0,,
2017-08-07,8,29,2,0,26.5,5.25,,
2017-08-07,9,2,1,0,9.75,5.25,,
2017-08-07,10,1,2,0,8.5,4.75,,
2017-08-07,11,2,5,0,4.5,5.25,,
2017-08-07,12,5,3,0,9.0,7.25,,
2017-08-07,13,2,2,0,4.25,4.5,,
2017-08-07,14,3,1,0,8.75,10.25,,
2017-08-07,15,1,6,0,10.5,11.5,,
2017-08-07,16,4,2,0,9.25,13.75,,
2017-08-07,17,5,11,0,10.5,25.75,,
2017-08-07,18,3,11,0,17.0,28.0,,
2017-08-07,19,4,13,0,11.5,15.5,,
2017-08-07,20,3,3,0,6.25,6.75,,
2017-08-07,21,2,6,0,6.25,6.0,,
2017-08-07,22,1,4,0,3.0,2.25,,
2017-08-07,23,2,4,0,3.25,4.25,,
2017-08-08,0,0,4,1,1.8,1.8,,
2017-08-08,1,1,0,1,0.8,0.4,,
2017-08-08,2,0,2,1,0.0,0.4,,
2017-08-08,3,1,0,1,0.0,0.0,,
2017-08-08,4,0,0,1,0.0,0.0,,
2017-08-08,5,3,0,1,2.4,0.2,,
2017-08-08,6,8,1,1,8.8,1.0,,
2017-08-08,7,24,4,1,17.2,3.4,,
2017-08-08,8,2,0,1,27.0,4.6,,
2017-08-08,9,4,4,1,8.2,4.4,,
2017-08-08,10,5,5,1,7.0,4.2,,
2017-08-08,11,6,6,1,4.0,5.2,,
2017-08-08,12,7,7,1,8.2,6.4,,
2017-08-08,13,7,7,1,3.8,4.0,,
2017-08-08,14,12,12,1,7.6,8.4,,
2017-08-08,15,10,13,1,8.6,10.4,,
2017-08-08,16,10,13,1,8.2,11.4,,
2017-08-08,17,9,32,1,9.4,22.8,,
2017-08-08,18,17,40,1,14.2,24.6,,
2017-08-08,19,14,16,1,10.0,15.0,,
2017-08-08,20,14,16,1,5.6,6.0,,
2017-08-08,21,7,6,1,5.4,6.0,,
2017-08-08,22,9,10,1,2.6,2.6,,
2017-08-08,23,5,4,1,3.0,4.2,,
2017-08-09,0,4,3,2,1.5,2.1666666666666665,,
2017-08-09,1,2,2,2,0.8333333333333334,0.3333333333333333,,
2017-08-09,2,0,1,2,0.0,0.6666666666666666,,
2017-08-09,3,0,1,2,0.16666666666666666,0.0,,
2017-08-09,4,0,0,2,0.0,0.0,,
2017-08-09,5,8,0,2,2.5,0.16666666666666666,,
2017-08-09,6,6,0,2,8.666666666666666,1.0,,
2017-08-09,7,28,2,2,18.333333333333332,3.5,,
2017-08-09,8,4,3,2,22.833333333333332,3.8333333333333335,,
2017-08-09,9,5,6,2,7.5,4.333333333333333,,
2017-08-09,10,7,7,2,6.666666666666667,4.333333333333333,,
2017-08-09,11,23,4,2,4.333333333333333,5.333333333333333,,
2017-08-09,12,10,7,2,8.0,6.5,,
2017-08-09,13,4,7,2,4.333333333333333,4.5,,
2017-08-09,14,5,5,2,8.333333333333334,9.0,,
2017-08-09,15,13,16,2,8.833333333333334,10.833333333333334,,
2017-08-09,16,10,5,2,8.5,11.666666666666666,,
2017-08-09,17,11,32,2,9.333333333333334,24.333333333333332,,
2017-08-09,18,15,34,2,14.666666666666666,27.166666666666668,,
2017-08-09,19,18,18,2,10.666666666666666,15.166666666666666,,
2017-08-09,20,12,15,2,7.0,7.666666666666667,,
2017-08-09,21,6,6,2,5.666666666666667,6.0,,
2017-08-09,22,7,7,2,3.6666666666666665,3.8333333333333335,,
2017-08-09,23,3,3,2,3.3333333333333335,4.166666666666667,,
2017-08-10,0,2,1,3,1.8571428571428572,2.2857142857142856,,
