date,hour,count_pickup,count_return,day_of_week,historical_average_pickup,historical_average_return,monthly_historical_average_pickup,monthly_historical_average_return
2017-08-01,0,1,1,1,,,,
2017-08-01,1,2,0,1,,,,
2017-08-01,2,0,1,1,,,,
2017-08-01,3,0,3,1,,,,
2017-08-01,4,1,1,1,,,,
2017-08-01,5,2,2,1,,,,
2017-08-01,6,7,10,1,,,,
2017-08-01,7,20,17,1,,,,
2017-08-01,8,25,32,1,,,,
2017-08-01,9,30,27,1,,,,
2017-08-01,10,24,14,1,,,,
2017-08-01,11,5,6,1,,,,
2017-08-01,12,9,14,1,,,,
2017-08-01,13,12,12,1,,,,
2017-08-01,14,14,14,1,,,,
2017-08-01,15,20,18,1,,,,
2017-08-01,16,14,19,1,,,,
2017-08-01,17,40,32,1,,,,
2017-08-01,18,39,38,1,,,,
2017-08-01,19,29,35,1,,,,
2017-08-01,20,25,24,1,,,,
2017-08-01,21,9,15,1,,,,
2017-08-01,22,14,8,1,,,,
2017-08-01,23,1,8,1,,,,
2017-08-02,0,1,1,2,1.0,1.0,,
2017-08-02,1,1,1,2,2.0,0.0,,
2017-08-02,2,0,1,2,0.0,1.0,,
2017-08-02,3,1,0,2,0.0,3.0,,
2017-08-02,4,3,1,2,1.0,1.0,,
2017-08-02,5,1,1,2,2.0,2.0,,
2017-08-02,6,13,7,2,7.0,10.0,,
2017-08-02,7,8,17,2,20.0,17.0,,
2017-08-02,8,31,31,2,25.0,32.0,,
2017-08-02,9,26,18,2,30.0,27.0,,
2017-08-02,10,4,10,2,24.0,14.0,,
2017-08-02,11,12,12,2,5.0,6.0,,
2017-08-02,12,6,5,2,9.0,14.0,,
2017-08-02,13,4,7,2,12.0,12.0,,
2017-08-02,14,10,4,2,14.0,14.0,,
2017-08-02,15,14,11,2,20.0,18.0,,
2017-08-02,16,13,16,2,14.0,19.0,,
2017-08-02,17,15,6,2,40.0,32.0,,
2017-08-02,18,21,29,2,39.0,38.0,,
2017-08-02,19,21,23,2,29.0,35.0,,
2017-08-02,20,18,18,2,25.0,24.0,,
2017-08-02,21,8,12,2,9.0,15.0,,
2017-08-02,22,8,7,2,14.0,8.0,,
2017-08-02,23,4,7,2,1.0,8.0,,
2017-08-03,0,0,0,3,1.0,1.0,,
2017-08-03,1,0,0,3,1.5,0.5,,
2017-08-03,2,0,0,3,0.0,1.0,,
2017-08-03,3,1,0,3,0.5,1.5,,
2017-08-03,4,1,1,3,2.0,1.0,,
2017-08-03,5,2,2,3,1.5,1.5,,
2017-08-03,6,10,12,3,10.0,8.5,,
2017-08-03,7,14,15,3,14.0,17.0,,
2017-08-03,8,32,27,3,28.0,31.5,,
2017-08-03,9,23,25,3,28.0,22.5,,
2017-08-03,10,8,11,3,14.0,12.0,,
2017-08-03,11,3,1,3,8.5,9.0,,
2017-08-03,12,23,14,3,7.5,9.5,,
2017-08-03,13,15,15,3,8.0,9.5,,
2017-08-03,14,12,20,3,12.0,9.0,,
2017-08-03,15,10,14,3,17.0,14.5,,
2017-08-03,16,15,11,3,13.5,17.5,,
2017-08-03,17,41,32,3,27.5,19.0,,
2017-08-03,18,33,42,3,30.0,33.5,,
2017-08-03,19,36,35,3,25.0,29.0,,
2017-08-03,20,19,21,3,21.5,21.0,,
2017-08-03,21,16,7,3,8.5,13.5,,
2017-08-03,22,11,11,3,11.0,7.5,,
2017-08-03,23,6,7,3,2.5,7.5,,
2017-08-04,0,2,7,4,0.6666666666666666,0.6666666666666666,,
2017-08-04,1,1,3,4,1.0,0.3333333333333333,,
2017-08-04,2,2,0,4,0.0,0.6666666666666666,,
2017-08-04,3,0,0,4,0.6666666666666666,1.0,,
2017-08-04,4,1,0,4,1.6666666666666667,1.0,,
2017-08-04,5,1,3,4,1.6666666666666667,1.6666666666666667,,
2017-08-04,6,3,4,4,10.0,9.666666666666666,,
2017-08-04,7,5,2,4,14.0,16.333333333333332,,
2017-08-04,8,11,15,4,29.333333333333332,30.0,,
2017-08-04,9,19,18,4,26.333333333333332,23.333333333333332,,
2017-08-04,10,10,11,4,12.0,11.666666666666666,,
2017-08-04,11,14,9,4,6.666666666666667,6.333333333333333,,
2017-08-04,12,22,15,4,12.666666666666666,11.0,,
2017-08-04,13,11,17,4,10.333333333333334,11.333333333333334,,
2017-08-04,14,22,29,4,12.0,12.666666666666666,,
2017-08-04,15,23,19,4,14.666666666666666,14.333333333333334,,
2017-08-04,16,26,28,4,14.0,15.333333333333334,,
2017-08-04,17,44,46,4,32.0,23.333333333333332,,
2017-08-04,18,35,25,4,31.0,36.333333333333336,,
2017-08-04,19,19,24,4,28.666666666666668,31.0,,
2017-08-04,20,12,10,4,20.666666666666668,21.0,,
2017-08-04,21,10,9,4,11.0,11.333333333333334,,
2017-08-04,22,8,6,4,11.0,8.666666666666666,,
2017-08-04,23,0,5,4,3.6666666666666665,7.333333333333333,,
2017-08-05,0,3,3,5,,,,
2017-08-05,1,2,2,5,,,,
2017-08-05,2,0,2,5,,,,
2017-08-05,3,0,2,5,,,,
2017-08-05,4,1,0,5,,,,
2017-08-05,5,0,1,5,,,,
2017-08-05,6,0,0,5,,,,
2017-08-05,7,1,0,5,,,,
2017-08-05,8,3,3,5,,,,
2017-08-05,9,12,8,5,,,,
2017-08-05,10,7,10,5,,,,
2017-08-05,11,28,17,5,,,,
2017-08-05,12,17,16,5,,,,
2017-08-05,13,28,36,5,,,,
2017-08-05,14,25,19,5,,,,
2017-08-05,15,17,28,5,,,,
2017-08-05,16,23,20,5,,,,
2017-08-05,17,31,39,5,,,,
2017-08-05,18,29,26,5,,,,
2017-08-05,19,27,24,5,,,,
2017-08-05,20,12,17,5,,,,
2017-08-05,21,9,9,5,,,,
2017-08-05,22,6,2,5,,,,
2017-08-05,23,3,4,5,,,,
2017-08-06,0,1,3,6,3.0,3.0,,
2017-08-06,1,2,2,6,2.0,2.0,,
2017-08-06,2,0,2,6,0.0,2.0,,
2017-08-06,3,1,0,6,0.0,2.0,,
2017-08-06,4,0,0,6,1.0,0.0,,
2017-08-06,5,0,0,6,0.0,1.0,,
2017-08-06,6,1,1,6,0.0,0.0,,
2017-08-06,7,2,2,6,1.0,0.0,,
2017-08-06,8,8,8,6,3.0,3.0,,
2017-08-06,9,8,5,6,12.0,8.0,,
2017-08-06,10,18,15,6,7.0,10.0,,
2017-08-06,11,20,21,6,28.0,17.0,,
2017-08-06,12,26,22,6,17.0,16.0,,
2017-08-06,13,32,28,6,28.0,36.0,,
2017-08-06,14,32,43,6,25.0,19.0,,
