id,address,longitude,latitude,capacity,has_kiosk,station_type
326,E 11 St & 1 Ave,-73.98426726,40.72953837,41,True,classic
327,Vesey Pl & River Terrace,-74.01658354,40.7153379,39,True,classic
328,Watts St & Greenwich St,-74.00965965,40.72405549,23,True,classic
330,Reade St & Broadway,-74.00562789,40.71450451,39,True,classic
331,Pike St & Monroe St,-73.99193043,40.71173107,27,True,classic
332,Cherry St,-73.97948148,40.71219906,36,True,classic
334,W 20 St & 7 Ave,-73.99726235,40.74238787,31,True,classic
335,Washington Pl & Broadway,-73.99404649,40.72903917,27,True,classic
336,Sullivan St & Washington Sq,-73.99906065,40.73047747,36,True,classic
339,Avenue D & E 12 St,-73.97422494,40.72580614,30,True,classic
340,Madison St & Clinton St,-73.98776323,40.71269042,27,True,classic
341,Stanton St & Mangin St,-73.97628939,40.71782143,19,True,classic
342,Columbia St & Rivington St,-73.98016555,40.71739973,29,True,classic
343,Clinton Ave & Flushing Ave,-73.96986848,40.69794,23,True,classic
344,Monroe St & Bedford Ave,-73.95380904,40.6851443,23,True,classic
346,Bank St & Hudson St,-74.00618026,40.73652889,27,True,classic
347,Greenwich St & W Houston St,-74.008591,40.728846,35,True,classic
349,Rivington St & Ridge St,-73.98329859,40.71850211,61,True,classic
350,Clinton St & Grand St,-73.9870295,40.71559509,28,True,classic
351,Front St & Maiden Ln,-74.00612572,40.70530954,39,True,classic
353,S Portland Ave & Hanson Pl,-73.97431458,40.68539567,27,True,classic
354,Emerson Pl & Myrtle Ave,-73.96223558,40.69363137,47,True,classic
355,Bayard St & Baxter St,-73.99974372,40.71602118,43,True,classic
356,Bialystoker Pl & Delancey St,-73.98261206,40.71622644,23,True,classic
358,Christopher St & Greenwich St,-74.00711384,40.73291553,50,True,classic
359,E 47 St & Park Ave,-73.97498696,40.75510267,65,True,classic
360,William St & Pine St,-74.00887308,40.70717936,39,True,classic
361,Allen St & Hester St,-73.99190759,40.71605866,43,True,classic
362,Broadway & W 37 St,-73.98753523,40.75172632,57,True,classic
363,West Thames St,-74.01713445,40.70834698,49,True,classic
364,Lafayette Ave & Classon Ave,-73.96023854,40.68900443,27,True,classic
366,Clinton Ave & Myrtle Ave,-73.968896,40.693261,33,True,classic
367,E 53 St & Lexington Ave,-73.97069431,40.75828065,3,True,classic
368,Carmine St & 6 Ave,-74.00214988,40.73038599,39,True,classic
