date,hour,count_pickup,count_return,day_of_week,historical_average_pickup,historical_average_return,monthly_historical_average_pickup,monthly_historical_average_return
2018-01-01,0,0,0,0,,,,
2018-01-01,1,0,0,0,,,,
2018-01-01,2,0,0,0,,,,
2018-01-01,3,0,0,0,,,,
2018-01-01,4,1,0,0,,,,
2018-01-01,5,0,0,0,,,,
2018-01-01,6,1,0,0,,,,
2018-01-01,7,0,1,0,,,,
2018-01-01,8,1,0,0,,,,
2018-01-01,9,2,1,0,,,,
2018-01-01,10,0,2,0,,,,
2018-01-01,11,1,1,0,,,,
2018-01-01,12,1,1,0,,,,
2018-01-01,13,2,1,0,,,,
2018-01-01,14,1,4,0,,,,
2018-01-01,15,2,1,0,,,,
2018-01-01,16,2,0,0,,,,
2018-01-01,17,2,3,0,,,,
2018-01-01,18,1,2,0,,,,
2018-01-01,19,1,2,0,,,,
2018-01-01,20,3,0,0,,,,
2018-01-01,21,0,4,0,,,,
2018-01-01,22,0,0,0,,,,
2018-01-01,23,1,0,0,,,,
2018-01-02,0,1,0,1,0.0,0.0,,
2018-01-02,1,0,0,1,0.0,0.0,,
2018-01-02,2,0,0,1,0.0,0.0,,
2018-01-02,3,0,0,1,0.0,0.0,,
2018-01-02,4,0,0,1,1.0,0.0,,
2018-01-02,5,2,0,1,0.0,0.0,,
2018-01-02,6,2,0,1,1.0,0.0,,
2018-01-02,7,3,3,1,0.0,1.0,,
2018-01-02,8,6,2,1,1.0,0.0,,
2018-01-02,9,9,5,1,2.0,1.0,,
2018-01-02,10,8,5,1,0.0,2.0,,
2018-01-02,11,4,3,1,1.0,1.0,,
2018-01-02,12,2,3,1,1.0,1.0,,
2018-01-02,13,2,2,1,2.0,1.0,,
2018-01-02,14,2,2,1,1.0,4.0,,
2018-01-02,15,5,5,1,2.0,1.0,,
2018-01-02,16,1,3,1,2.0,0.0,,
2018-01-02,17,5,8,1,2.0,3.0,,
2018-01-02,18,8,9,1,1.0,2.0,,
2018-01-02,19,6,5,1,1.0,2.0,,
2018-01-02,20,3,2,1,3.0,0.0,,
2018-01-02,21,2,5,1,0.0,4.0,,
2018-01-02,22,3,1,1,0.0,0.0,,
2018-01-02,23,1,1,1,1.0,0.0,,
2018-01-03,0,1,0,2,0.5,0.0,,
2018-01-03,1,0,1,2,0.0,0.0,,
2018-01-03,2,0,0,2,0.0,0.0,,
2018-01-03,3,0,0,2,0.0,0.0,,
2018-01-03,4,0,1,2,0.5,0.0,,
2018-01-03,5,2,1,2,1.0,0.0,,
2018-01-03,6,2,1,2,1.5,0.0,,
2018-01-03,7,7,4,2,1.5,2.0,,
2018-01-03,8,9,4,2,3.5,1.0,,
2018-01-03,9,8,8,2,5.5,3.0,,
2018-01-03,10,7,8,2,4.0,3.5,,
2018-01-03,11,2,3,2,2.5,2.0,,
2018-01-03,12,3,4,2,1.5,2.0,,
2018-01-03,13,1,4,2,2.0,1.5,,
2018-01-03,14,3,0,2,1.5,3.0,,
2018-01-03,15,6,5,2,3.5,3.0,,
2018-01-03,16,2,7,2,1.5,1.5,,
2018-01-03,17,6,10,2,3.5,5.5,,
2018-01-03,18,10,14,2,4.5,5.5,,
2018-01-03,19,5,10,2,3.5,3.5,,
2018-01-03,20,3,1,2,3.0,1.0,,
2018-01-03,21,3,8,2,1.0,4.5,,
2018-01-03,22,2,4,2,1.5,0.5,,
2018-01-03,23,3,0,2,1.0,0.5,,
2018-01-04,0,2,1,3,0.6666666666666666,0.0,,
2018-01-04,1,2,0,3,0.0,0.3333333333333333,,
2018-01-04,2,0,1,3,0.0,0.0,,
2018-01-04,3,0,1,3,0.0,0.0,,
2018-01-04,4,0,0,3,0.3333333333333333,0.3333333333333333,,
2018-01-04,5,1,1,3,1.3333333333333333,0.3333333333333333,,
2018-01-04,6,0,0,3,1.6666666666666667,0.3333333333333333,,
2018-01-04,7,0,0,3,3.3333333333333335,2.6666666666666665,,
2018-01-04,8,1,1,3,5.333333333333333,2.0,,
2018-01-04,9,1,0,3,6.333333333333333,4.666666666666667,,
2018-01-04,10,2,0,3,5.0,5.0,,
2018-01-04,11,0,0,3,2.3333333333333335,2.3333333333333335,,
2018-01-04,12,0,1,3,2.0,2.6666666666666665,,
2018-01-04,13,0,0,3,1.6666666666666667,2.3333333333333335,,
2018-01-04,14,0,1,3,2.0,2.0,,
2018-01-04,15,0,0,3,4.333333333333333,3.6666666666666665,,
2018-01-04,16,0,0,3,1.6666666666666667,3.3333333333333335,,
2018-01-04,17,0,1,3,4.333333333333333,7.0,,
2018-01-04,18,2,2,3,6.333333333333333,8.333333333333334,,
2018-01-04,19,0,1,3,4.0,5.666666666666667,,
2018-01-04,20,2,2,3,3.0,1.0,,
2018-01-04,21,0,2,3,1.6666666666666667,5.666666666666667,,
2018-01-04,22,0,0,3,1.6666666666666667,1.6666666666666667,,
2018-01-04,23,0,0,3,1.6666666666666667,0.3333333333333333,,
2018-01-05,0,1,0,4,1.0,0.25,,
2018-01-05,1,0,0,4,0.5,0.25,,
2018-01-05,2,0,0,4,0.0,0.25,,
2018-01-05,3,0,0,4,0.0,0.25,,
2018-01-05,4,0,0,4,0.25,0.25,,
2018-01-05,5,0,0,4,1.25,0.5,,
2018-01-05,6,1,0,4,1.25,0.25,,
2018-01-05,7,1,2,4,2.5,2.0,,
2018-01-05,8,0,0,4,4.25,1.75,,
2018-01-05,9,3,0,4,5.0,3.5,,
2018-01-05,10,2,1,4,4.25,3.75,,
2018-01-05,11,0,0,4,1.75,1.75,,
2018-01-05,12,0,3,4,1.5,2.25,,
2018-01-05,13,1,0,4,1.25,1.75,,
2018-01-05,14,0,2,4,1.5,1.75,,
