date,hour,count_pickup,count_return,day_of_week,historical_average_pickup,historical_average_return,monthly_historical_average_pickup,monthly_historical_average_return
2018-01-01,0,1,1,0,,,,
2018-01-01,1,1,1,0,,,,
2018-01-01,2,1,0,0,,,,
2018-01-01,3,0,1,0,,,,
2018-01-01,4,0,0,0,,,,
2018-01-01,5,0,0,0,,,,
2018-01-01,6,0,0,0,,,,
2018-01-01,7,0,0,0,,,,
2018-01-01,8,0,0,0,,,,
2018-01-01,9,1,1,0,,,,
2018-01-01,10,1,0,0,,,,
2018-01-01,11,1,4,0,,,,
2018-01-01,12,2,1,0,,,,
2018-01-01,13,0,3,0,,,,
2018-01-01,14,1,2,0,,,,
2018-01-01,15,3,2,0,,,,
2018-01-01,16,6,3,0,,,,
2018-01-01,17,3,3,0,,,,
2018-01-01,18,3,1,0,,,,
2018-01-01,19,2,0,0,,,,
2018-01-01,20,1,0,0,,,,
2018-01-01,21,3,2,0,,,,
2018-01-01,22,0,0,0,,,,
2018-01-01,23,0,0,0,,,,
2018-01-02,0,2,0,1,1.0,1.0,,
2018-01-02,1,0,0,1,1.0,1.0,,
2018-01-02,2,0,0,1,1.0,0.0,,
2018-01-02,3,0,0,1,0.0,1.0,,
2018-01-02,4,0,0,1,0.0,0.0,,
2018-01-02,5,0,3,1,0.0,0.0,,
2018-01-02,6,3,2,1,0.0,0.0,,
2018-01-02,7,3,4,1,0.0,0.0,,
2018-01-02,8,4,12,1,0.0,0.0,,
2018-01-02,9,3,11,1,1.0,1.0,,
2018-01-02,10,5,4,1,1.0,0.0,,
2018-01-02,11,1,7,1,1.0,4.0,,
2018-01-02,12,6,5,1,2.0,1.0,,
2018-01-02,13,7,5,1,0.0,3.0,,
2018-01-02,14,8,5,1,1.0,2.0,,
2018-01-02,15,6,5,1,3.0,2.0,,
2018-01-02,16,7,9,1,6.0,3.0,,
2018-01-02,17,15,13,1,3.0,3.0,,
2018-01-02,18,14,13,1,3.0,1.0,,
2018-01-02,19,6,6,1,2.0,0.0,,
2018-01-02,20,3,3,1,1.0,0.0,,
2018-01-02,21,4,5,1,3.0,2.0,,
2018-01-02,22,1,2,1,0.0,0.0,,
2018-01-02,23,0,0,1,0.0,0.0,,
2018-01-03,0,0,0,2,1.5,0.5,,
2018-01-03,1,0,0,2,0.5,0.5,,
2018-01-03,2,0,2,2,0.5,0.0,,
2018-01-03,3,0,0,2,0.0,0.5,,
2018-01-03,4,0,0,2,0.0,0.0,,
2018-01-03,5,0,0,2,0.0,1.5,,
2018-01-03,6,1,3,2,1.5,1.0,,
2018-01-03,7,4,14,2,1.5,2.0,,
2018-01-03,8,5,22,2,2.0,6.0,,
2018-01-03,9,6,23,2,2.0,6.0,,
2018-01-03,10,7,14,2,3.0,2.0,,
2018-01-03,11,14,10,2,1.0,5.5,,
2018-01-03,12,7,10,2,4.0,3.0,,
2018-01-03,13,5,5,2,3.5,4.0,,
2018-01-03,14,11,10,2,4.5,3.5,,
2018-01-03,15,10,8,2,4.5,3.5,,
2018-01-03,16,15,9,2,6.5,6.0,,
2018-01-03,17,15,25,2,9.0,8.0,,
2018-01-03,18,19,18,2,8.5,7.0,,
2018-01-03,19,15,11,2,4.0,3.0,,
2018-01-03,20,13,7,2,2.0,1.5,,
2018-01-03,21,7,3,2,3.5,3.5,,
2018-01-03,22,4,2,2,0.5,1.0,,
2018-01-03,23,2,3,2,0.0,0.0,,
2018-01-04,0,0,0,3,1.0,0.3333333333333333,,
2018-01-04,1,1,1,3,0.3333333333333333,0.3333333333333333,,
2018-01-04,2,0,0,3,0.3333333333333333,0.6666666666666666,,
2018-01-04,3,0,0,3,0.0,0.3333333333333333,,
2018-01-04,4,0,0,3,0.0,0.0,,
2018-01-04,5,0,0,3,0.0,1.0,,
2018-01-04,6,0,1,3,1.3333333333333333,1.6666666666666667,,
2018-01-04,7,0,0,3,2.3333333333333335,6.0,,
2018-01-04,8,0,3,3,3.0,11.333333333333334,,
2018-01-04,9,0,1,3,3.3333333333333335,11.666666666666666,,
