date,hour,count_pickup,count_return,day_of_week,historical_average_pickup,historical_average_return,monthly_historical_average_pickup,monthly_historical_average_return
2017-01-01,0,1,0,6,,,,
2017-01-01,1,0,0,6,,,,
2017-01-01,2,3,0,6,,,,
2017-01-01,3,1,0,6,,,,
2017-01-01,4,0,0,6,,,,
2017-01-01,5,0,0,6,,,,
2017-01-01,6,0,0,6,,,,
2017-01-01,7,0,0,6,,,,
2017-01-01,8,0,1,6,,,,
2017-01-01,9,1,2,6,,,,
2017-01-01,10,1,2,6,,,,
2017-01-01,11,2,1,6,,,,
2017-01-01,12,5,4,6,,,,
2017-01-01,13,3,0,6,,,,
2017-01-01,14,1,3,6,,,,
2017-01-01,15,0,1,6,,,,
2017-01-01,16,1,3,6,,,,
2017-01-01,17,0,3,6,,,,
2017-01-01,18,4,0,6,,,,
2017-01-01,19,2,3,6,,,,
2017-01-01,20,5,1,6,,,,
2017-01-01,21,2,0,6,,,,
2017-01-01,22,1,0,6,,,,
2017-01-01,23,0,1,6,,,,
2017-01-02,0,1,0,0,,,,
2017-01-02,1,0,0,0,,,,
2017-01-02,2,0,0,0,,,,
2017-01-02,3,1,0,0,,,,
2017-01-02,4,0,0,0,,,,
2017-01-02,5,0,0,0,,,,
2017-01-02,6,0,0,0,,,,
2017-01-02,7,2,1,0,,,,
2017-01-02,8,0,3,0,,,,
2017-01-02,9,5,2,0,,,,
2017-01-02,10,2,1,0,,,,
2017-01-02,11,0,2,0,,,,
2017-01-02,12,1,4,0,,,,
2017-01-02,13,0,6,0,,,,
2017-01-02,14,3,2,0,,,,
2017-01-02,15,1,0,0,,,,
2017-01-02,16,2,2,0,,,,
2017-01-02,17,0,1,0,,,,
2017-01-02,18,2,0,0,,,,
2017-01-02,19,1,2,0,,,,
2017-01-02,20,1,0,0,,,,
2017-01-02,21,2,0,0,,,,
2017-01-02,22,1,1,0,,,,
2017-01-02,23,0,1,0,,,,
2017-01-03,0,0,0,1,1.0,0.0,,
2017-01-03,1,0,0,1,0.0,0.0,,
2017-01-03,2,0,0,1,0.0,0.0,,
2017-01-03,3,0,0,1,1.0,0.0,,
2017-01-03,4,0,1,1,0.0,0.0,,
2017-01-03,5,0,0,1,0.0,0.0,,
2017-01-03,6,1,9,1,0.0,0.0,,
2017-01-03,7,0,15,1,2.0,1.0,,
2017-01-03,8,5,9,1,0.0,3.0,,
2017-01-03,9,3,12,1,5.0,2.0,,
2017-01-03,10,2,0,1,2.0,1.0,,
2017-01-03,11,2,1,1,0.0,2.0,,
2017-01-03,12,0,1,1,1.0,4.0,,
2017-01-03,13,0,1,1,0.0,6.0,,
2017-01-03,14,3,0,1,3.0,2.0,,
2017-01-03,15,1,0,1,1.0,0.0,,
2017-01-03,16,1,0,1,2.0,2.0,,
2017-01-03,17,5,5,1,0.0,1.0,,
2017-01-03,18,4,3,1,2.0,0.0,,
2017-01-03,19,2,2,1,1.0,2.0,,
2017-01-03,20,2,3,1,1.0,0.0,,
2017-01-03,21,1,0,1,2.0,0.0,,
2017-01-03,22,0,2,1,1.0,1.0,,
2017-01-03,23,1,0,1,0.0,1.0,,
2017-01-04,0,0,0,2,0.5,0.0,,
2017-01-04,1,0,1,2,0.0,0.0,,
2017-01-04,2,0,0,2,0.0,0.0,,
2017-01-04,3,0,0,2,0.5,0.0,,
2017-01-04,4,0,1,2,0.0,0.5,,
2017-01-04,5,0,3,2,0.0,0.0,,
2017-01-04,6,0,16,2,0.5,4.5,,
2017-01-04,7,5,13,2,1.0,8.0,,
2017-01-04,8,9,9,2,2.5,6.0,,
2017-01-04,9,7,7,2,4.0,7.0,,
2017-01-04,10,5,3,2,2.0,0.5,,
2017-01-04,11,4,5,2,1.0,1.5,,
2017-01-04,12,11,8,2,0.5,2.5,,
2017-01-04,13,11,7,2,0.0,3.5,,
2017-01-04,14,7,10,2,3.0,1.0,,
2017-01-04,15,11,8,2,1.0,0.0,,
2017-01-04,16,18,5,2,1.5,1.0,,
2017-01-04,17,44,11,2,2.5,3.0,,
2017-01-04,18,10,13,2,3.0,1.5,,
2017-01-04,19,6,3,2,1.5,2.0,,
2017-01-04,20,1,3,2,1.5,1.5,,
2017-01-04,21,1,2,2,1.5,0.0,,
2017-01-04,22,2,1,2,0.5,1.5,,
2017-01-04,23,3,2,2,0.5,0.5,,
2017-01-05,0,0,1,3,0.3333333333333333,0.0,,
2017-01-05,1,0,0,3,0.0,0.3333333333333333,,
2017-01-05,2,1,0,3,0.0,0.0,,
2017-01-05,3,0,1,3,0.3333333333333333,0.0,,
2017-01-05,4,1,0,3,0.0,0.6666666666666666,,
2017-01-05,5,0,4,3,0.0,1.0,,
2017-01-05,6,4,16,3,0.3333333333333333,8.333333333333334,,
2017-01-05,7,4,20,3,2.3333333333333335,9.666666666666666,,
2017-01-05,8,7,24,3,4.666666666666667,7.0,,
2017-01-05,9,7,10,3,5.0,7.0,,
