date,hour,count_pickup,count_return,day_of_week,historical_average_pickup,historical_average_return,monthly_historical_average_pickup,monthly_historical_average_return
2017-01-01,0,1,0,6,,,,
2017-01-01,1,0,0,6,,,,
2017-01-01,2,2,0,6,,,,
2017-01-01,3,0,0,6,,,,
2017-01-01,4,2,0,6,,,,
2017-01-01,5,0,1,6,,,,
2017-01-01,6,1,2,6,,,,
2017-01-01,7,0,1,6,,,,
2017-01-01,8,0,1,6,,,,
2017-01-01,9,0,1,6,,,,
2017-01-01,10,0,5,6,,,,
2017-01-01,11,1,4,6,,,,
2017-01-01,12,1,3,6,,,,
2017-01-01,13,3,6,6,,,,
2017-01-01,14,3,4,6,,,,
2017-01-01,15,6,6,6,,,,
2017-01-01,16,5,2,6,,,,
2017-01-01,17,2,1,6,,,,
2017-01-01,18,3,4,6,,,,
2017-01-01,19,3,1,6,,,,
2017-01-01,20,1,2,6,,,,
2017-01-01,21,1,1,6,,,,
2017-01-01,22,8,1,6,,,,
2017-01-01,23,1,1,6,,,,
2017-01-02,0,0,3,0,,,,
2017-01-02,1,1,0,0,,,,
2017-01-02,2,0,0,0,,,,
2017-01-02,3,0,0,0,,,,
2017-01-02,4,0,0,0,,,,
2017-01-02,5,0,1,0,,,,
2017-01-02,6,2,1,0,,,,
2017-01-02,7,1,2,0,,,,
2017-01-02,8,1,0,0,,,,
2017-01-02,9,2,0,0,,,,
2017-01-02,10,0,0,0,,,,
2017-01-02,11,2,4,0,,,,
2017-01-02,12,2,0,0,,,,
2017-01-02,13,2,2,0,,,,
2017-01-02,14,0,2,0,,,,
2017-01-02,15,2,1,0,,,,
2017-01-02,16,2,0,0,,,,
2017-01-02,17,0,1,0,,,,
2017-01-02,18,2,1,0,,,,
2017-01-02,19,4,3,0,,,,
2017-01-02,20,2,1,0,,,,
2017-01-02,21,3,0,0,,,,
2017-01-02,22,2,1,0,,,,
2017-01-02,23,0,0,0,,,,
2017-01-03,0,0,2,1,0.0,3.0,,
2017-01-03,1,0,0,1,1.0,0.0,,
2017-01-03,2,0,1,1,0.0,0.0,,
2017-01-03,3,0,0,1,0.0,0.0,,
2017-01-03,4,2,2,1,0.0,0.0,,
2017-01-03,5,5,1,1,0.0,1.0,,
2017-01-03,6,3,3,1,2.0,1.0,,
2017-01-03,7,4,4,1,1.0,2.0,,
2017-01-03,8,12,11,1,1.0,0.0,,
2017-01-03,9,2,2,1,2.0,0.0,,
2017-01-03,10,0,5,1,0.0,0.0,,
2017-01-03,11,0,2,1,2.0,4.0,,
2017-01-03,12,0,4,1,2.0,0.0,,
2017-01-03,13,1,5,1,2.0,2.0,,
2017-01-03,14,4,11,1,0.0,2.0,,
2017-01-03,15,1,3,1,2.0,1.0,,
2017-01-03,16,3,11,1,2.0,0.0,,
2017-01-03,17,11,23,1,0.0,1.0,,
2017-01-03,18,10,16,1,2.0,1.0,,
2017-01-03,19,1,10,1,4.0,3.0,,
2017-01-03,20,3,1,1,2.0,1.0,,
2017-01-03,21,4,3,1,3.0,0.0,,
2017-01-03,22,1,1,1,2.0,1.0,,
2017-01-03,23,0,1,1,0.0,0.0,,
2017-01-04,0,0,3,2,0.0,2.5,,
2017-01-04,1,1,0,2,0.5,0.0,,
2017-01-04,2,1,0,2,0.0,0.5,,
2017-01-04,3,0,0,2,0.0,0.0,,
2017-01-04,4,2,1,2,1.0,1.0,,
2017-01-04,5,14,2,2,2.5,1.0,,
2017-01-04,6,28,4,2,2.5,2.0,,
2017-01-04,7,2,2,2,2.5,3.0,,
2017-01-04,8,11,12,2,6.5,5.5,,
2017-01-04,9,10,8,2,2.0,1.0,,
2017-01-04,10,2,3,2,0.0,2.5,,
2017-01-04,11,3,6,2,1.0,3.0,,
2017-01-04,12,9,6,2,1.0,2.0,,
2017-01-04,13,6,15,2,1.5,3.5,,
2017-01-04,14,11,23,2,2.0,6.5,,
2017-01-04,15,9,16,2,1.5,2.0,,
2017-01-04,16,7,35,2,2.5,5.5,,
2017-01-04,17,13,25,2,5.5,12.0,,
2017-01-04,18,15,14,2,6.0,8.5,,
2017-01-04,19,11,7,2,2.5,6.5,,
2017-01-04,20,4,5,2,2.5,1.0,,
2017-01-04,21,3,4,2,3.5,1.5,,
2017-01-04,22,5,2,2,1.5,1.0,,
2017-01-04,23,2,2,2,0.0,0.5,,
2017-01-05,0,1,4,3,0.0,2.6666666666666665,,
2017-01-05,1,1,0,3,0.6666666666666666,0.0,,
2017-01-05,2,0,0,3,0.3333333333333333,0.3333333333333333,,
2017-01-05,3,0,0,3,0.0,0.0,,
2017-01-05,4,2,2,3,1.3333333333333333,1.0,,
2017-01-05,5,7,0,3,6.333333333333333,1.3333333333333333,,
2017-01-05,6,36,4,3,11.0,2.6666666666666665,,
2017-01-05,7,6,3,3,2.3333333333333335,2.6666666666666665,,
2017-01-05,8,15,16,3,8.0,7.666666666666667,,
2017-01-05,9,5,7,3,4.666666666666667,3.3333333333333335,,
