date,hour,count_pickup,count_return,day_of_week,historical_average_pickup,historical_average_return,monthly_historical_average_pickup,monthly_historical_average_return
2017-01-01,0,0,0,6,,,,
2017-01-01,1,0,0,6,,,,
2017-01-01,2,1,0,6,,,,
2017-01-01,3,0,0,6,,,,
2017-01-01,4,0,0,6,,,,
2017-01-01,5,1,0,6,,,,
2017-01-01,6,0,1,6,,,,
2017-01-01,7,0,0,6,,,,
2017-01-01,8,0,1,6,,,,
2017-01-01,9,0,3,6,,,,
2017-01-01,10,4,0,6,,,,
2017-01-01,11,4,3,6,,,,
2017-01-01,12,6,8,6,,,,
2017-01-01,13,9,6,6,,,,
2017-01-01,14,6,8,6,,,,
2017-01-01,15,6,10,6,,,,
2017-01-01,16,7,5,6,,,,
2017-01-01,17,6,2,6,,,,
2017-01-01,18,4,2,6,,,,
2017-01-01,19,4,2,6,,,,
2017-01-01,20,1,2,6,,,,
2017-01-01,21,2,5,6,,,,
2017-01-01,22,0,0,6,,,,
2017-01-01,23,0,2,6,,,,
2017-01-02,0,2,1,0,,,,
2017-01-02,1,1,1,0,,,,
2017-01-02,2,0,0,0,,,,
2017-01-02,3,0,0,0,,,,
2017-01-02,4,0,0,0,,,,
2017-01-02,5,1,0,0,,,,
2017-01-02,6,0,0,0,,,,
2017-01-02,7,1,1,0,,,,
2017-01-02,8,3,5,0,,,,
2017-01-02,9,6,9,0,,,,
2017-01-02,10,14,14,0,,,,
2017-01-02,11,7,10,0,,,,
2017-01-02,12,6,2,0,,,,
2017-01-02,13,9,2,0,,,,
2017-01-02,14,2,4,0,,,,
2017-01-02,15,7,5,0,,,,
2017-01-02,16,8,7,0,,,,
2017-01-02,17,4,8,0,,,,
2017-01-02,18,1,6,0,,,,
2017-01-02,19,10,7,0,,,,
2017-01-02,20,10,8,0,,,,
2017-01-02,21,4,2,0,,,,
2017-01-02,22,2,2,0,,,,
2017-01-02,23,0,0,0,,,,
2017-01-03,0,0,0,1,2.0,1.0,,
2017-01-03,1,0,1,1,1.0,1.0,,
2017-01-03,2,0,0,1,0.0,0.0,,
2017-01-03,3,0,0,1,0.0,0.0,,
2017-01-03,4,0,1,1,0.0,0.0,,
2017-01-03,5,1,1,1,1.0,0.0,,
2017-01-03,6,0,2,1,0.0,0.0,,
2017-01-03,7,3,3,1,1.0,1.0,,
2017-01-03,8,8,16,1,3.0,5.0,,
2017-01-03,9,2,12,1,6.0,9.0,,
2017-01-03,10,6,5,1,14.0,14.0,,
2017-01-03,11,3,3,1,7.0,10.0,,
2017-01-03,12,0,3,1,6.0,2.0,,
2017-01-03,13,4,5,1,9.0,2.0,,
2017-01-03,14,3,0,1,2.0,4.0,,
2017-01-03,15,8,3,1,7.0,5.0,,
2017-01-03,16,5,3,1,8.0,7.0,,
2017-01-03,17,13,10,1,4.0,8.0,,
2017-01-03,18,17,11,1,1.0,6.0,,
2017-01-03,19,13,6,1,10.0,7.0,,
2017-01-03,20,7,12,1,10.0,8.0,,
2017-01-03,21,4,3,1,4.0,2.0,,
2017-01-03,22,0,3,1,2.0,2.0,,
2017-01-03,23,0,1,1,0.0,0.0,,
2017-01-04,0,0,0,2,1.0,0.5,,
2017-01-04,1,1,0,2,0.5,1.0,,
2017-01-04,2,1,0,2,0.0,0.0,,
2017-01-04,3,0,0,2,0.0,0.0,,
2017-01-04,4,0,0,2,0.0,0.5,,
2017-01-04,5,0,2,2,1.0,0.5,,
2017-01-04,6,1,6,2,0.0,1.0,,
2017-01-04,7,6,10,2,2.0,2.0,,
2017-01-04,8,19,33,2,5.5,10.5,,
2017-01-04,9,15,30,2,4.0,10.5,,
2017-01-04,10,9,7,2,10.0,9.5,,
2017-01-04,11,15,9,2,5.0,6.5,,
2017-01-04,12,11,17,2,3.0,2.5,,
2017-01-04,13,18,12,2,6.5,3.5,,
2017-01-04,14,15,11,2,2.5,2.0,,
2017-01-04,15,19,16,2,7.5,4.0,,
2017-01-04,16,19,15,2,6.5,5.0,,
2017-01-04,17,26,19,2,8.5,9.0,,
2017-01-04,18,42,29,2,9.0,8.5,,
2017-01-04,19,24,21,2,11.5,6.5,,
2017-01-04,20,10,12,2,8.5,10.0,,
2017-01-04,21,9,7,2,4.0,2.5,,
2017-01-04,22,2,1,2,1.0,2.5,,
2017-01-04,23,2,1,2,0.0,0.5,,
2017-01-05,0,0,1,3,0.6666666666666666,0.3333333333333333,,
2017-01-05,1,1,0,3,0.6666666666666666,0.6666666666666666,,
2017-01-05,2,0,0,3,0.3333333333333333,0.0,,
2017-01-05,3,0,0,3,0.0,0.0,,
2017-01-05,4,1,0,3,0.0,0.3333333333333333,,
2017-01-05,5,1,2,3,0.6666666666666666,1.0,,
2017-01-05,6,2,2,3,0.3333333333333333,2.6666666666666665,,
2017-01-05,7,4,11,3,3.3333333333333335,4.666666666666667,,
2017-01-05,8,6,22,3,10.0,18.0,,
2017-01-05,9,13,14,3,7.666666666666667,17.0,,
2017-01-05,10,9,14,3,9.666666666666666,8.666666666666666,,
2017-01-05,11,11,3,3,8.333333333333334,7.333333333333333,,
2017-01-05,12,4,14,3,5.666666666666667,7.333333333333333,,
2017-01-05,13,16,7,3,10.333333333333334,6.333333333333333,,
2017-01-05,14,20,12,3,6.666666666666667,5.0,,
2017-01-05,15,9,10,3,11.333333333333334,8.0,,
2017-01-05,16,21,10,3,10.666666666666666,8.333333333333334,,
2017-01-05,17,21,27,3,14.333333333333334,12.333333333333334,,
2017-01-05,18,23,17,3,20.0,15.333333333333334,,
2017-01-05,19,16,10,3,15.666666666666666,11.333333333333334,,
2017-01-05,20,5,7,3,9.0,10.666666666666666,,
2017-01-05,21,4,6,3,5.666666666666667,4.0,,
2017-01-05,22,4,0,3,1.3333333333333333,2.0,,
2017-01-05,23,0,2,3,0.6666666666666666,0.6666666666666666,,
2017-01-06,0,0,1,4,0.5,0.5,,
2017-01-06,1,1,0,4,0.75,0.5,,
2017-01-06,2,0,0,4,0.25,0.0,,
2017-01-06,3,0,0,4,0.0,0.0,,
2017-01-06,4,0,1,4,0.25,0.25,,
2017-01-06,5,2,2,4,0.75,1.25,,
2017-01-06,6,2,3,4,0.75,2.5,,
2017-01-06,7,3,3,4,3.5,6.25,,
2017-01-06,8,5,14,4,9.0,19.0,,
2017-01-06,9,12,19,4,9.0,16.25,,
2017-01-06,10,6,6,4,9.5,10.0,,
2017-01-06,11,11,4,4,9.0,6.25,,
2017-01-06,12,8,8,4,5.25,9.0,,
2017-01-06,13,13,10,4,11.75,6.5,,
2017-01-06,14,16,9,4,10.0,6.75,,
2017-01-06,15,9,13,4,10.75,8.5,,
2017-01-06,16,17,14,4,13.25,8.75,,
2017-01-06,17,19,17,4,16.0,16.0,,
