date,hour,count_pickup,count_return,day_of_week,historical_average_pickup,historical_average_return,monthly_historical_average_pickup,monthly_historical_average_return
2017-01-01,0,1,2,6,,,,
2017-01-01,1,1,1,6,,,,
2017-01-01,2,1,0,6,,,,
2017-01-01,3,1,1,6,,,,
2017-01-01,4,1,0,6,,,,
2017-01-01,5,0,0,6,,,,
2017-01-01,6,0,0,6,,,,
2017-01-01,7,0,0,6,,,,
2017-01-01,8,0,0,6,,,,
2017-01-01,9,0,2,6,,,,
2017-01-01,10,2,5,6,,,,
2017-01-01,11,2,5,6,,,,
2017-01-01,12,7,7,6,,,,
2017-01-01,13,6,6,6,,,,
2017-01-01,14,11,8,6,,,,
2017-01-01,15,11,15,6,,,,
2017-01-01,16,9,5,6,,,,
2017-01-01,17,10,5,6,,,,
2017-01-01,18,3,9,6,,,,
2017-01-01,19,5,1,6,,,,
2017-01-01,20,1,3,6,,,,
2017-01-01,21,4,1,6,,,,
2017-01-01,22,3,1,6,,,,
2017-01-01,23,0,0,6,,,,
2017-01-02,0,1,2,0,,,,
2017-01-02,1,0,0,0,,,,
2017-01-02,2,0,0,0,,,,
2017-01-02,3,0,1,0,,,,
2017-01-02,4,0,0,0,,,,
2017-01-02,5,0,0,0,,,,
2017-01-02,6,0,2,0,,,,
2017-01-02,7,3,0,0,,,,
2017-01-02,8,0,2,0,,,,
2017-01-02,9,1,5,0,,,,
2017-01-02,10,4,8,0,,,,
2017-01-02,11,3,14,0,,,,
2017-01-02,12,5,4,0,,,,
2017-01-02,13,4,4,0,,,,
2017-01-02,14,4,4,0,,,,
2017-01-02,15,8,6,0,,,,
2017-01-02,16,5,6,0,,,,
2017-01-02,17,2,10,0,,,,
2017-01-02,18,6,3,0,,,,
2017-01-02,19,2,1,0,,,,
2017-01-02,20,1,0,0,,,,
2017-01-02,21,3,1,0,,,,
2017-01-02,22,1,0,0,,,,
2017-01-02,23,0,0,0,,,,
2017-01-03,0,0,0,1,1.0,2.0,,
2017-01-03,1,0,0,1,0.0,0.0,,
2017-01-03,2,0,0,1,0.0,0.0,,
2017-01-03,3,0,2,1,0.0,1.0,,
2017-01-03,4,0,0,1,0.0,0.0,,
2017-01-03,5,0,3,1,0.0,0.0,,
2017-01-03,6,1,3,1,0.0,2.0,,
2017-01-03,7,7,6,1,3.0,0.0,,
2017-01-03,8,3,28,1,0.0,2.0,,
2017-01-03,9,6,11,1,1.0,5.0,,
2017-01-03,10,3,5,1,4.0,8.0,,
2017-01-03,11,1,2,1,3.0,14.0,,
2017-01-03,12,0,0,1,5.0,4.0,,
2017-01-03,13,4,0,1,4.0,4.0,,
2017-01-03,14,2,3,1,4.0,4.0,,
2017-01-03,15,3,4,1,8.0,6.0,,
2017-01-03,16,3,2,1,5.0,6.0,,
2017-01-03,17,12,12,1,2.0,10.0,,
2017-01-03,18,6,10,1,6.0,3.0,,
2017-01-03,19,16,5,1,2.0,1.0,,
2017-01-03,20,7,4,1,1.0,0.0,,
2017-01-03,21,8,2,1,3.0,1.0,,
2017-01-03,22,1,1,1,1.0,0.0,,
2017-01-03,23,1,0,1,0.0,0.0,,
2017-01-04,0,1,1,2,0.5,1.0,,
2017-01-04,1,0,3,2,0.0,0.0,,
2017-01-04,2,0,0,2,0.0,0.0,,
2017-01-04,3,0,0,2,0.0,1.5,,
2017-01-04,4,0,0,2,0.0,0.0,,
2017-01-04,5,0,1,2,0.0,1.5,,
2017-01-04,6,2,7,2,0.5,2.5,,
2017-01-04,7,7,16,2,5.0,3.0,,
2017-01-04,8,11,39,2,1.5,15.0,,
2017-01-04,9,18,25,2,3.5,8.0,,
2017-01-04,10,10,9,2,3.5,6.5,,
2017-01-04,11,8,8,2,2.0,8.0,,
2017-01-04,12,17,21,2,2.5,2.0,,
2017-01-04,13,10,17,2,4.0,2.0,,
2017-01-04,14,21,14,2,3.0,3.5,,
2017-01-04,15,16,16,2,5.5,5.0,,
2017-01-04,16,18,21,2,4.0,4.0,,
2017-01-04,17,37,14,2,7.0,11.0,,
2017-01-04,18,29,19,2,6.0,6.5,,
2017-01-04,19,14,15,2,9.0,3.0,,
2017-01-04,20,9,10,2,4.0,2.0,,
2017-01-04,21,4,3,2,5.5,1.5,,
2017-01-04,22,0,0,2,1.0,0.5,,
2017-01-04,23,0,0,2,0.5,0.0,,
2017-01-05,0,0,1,3,0.6666666666666666,1.0,,
2017-01-05,1,0,0,3,0.0,1.0,,
2017-01-05,2,0,1,3,0.0,0.0,,
2017-01-05,3,0,1,3,0.0,1.0,,
2017-01-05,4,0,0,3,0.0,0.0,,
2017-01-05,5,0,2,3,0.0,1.3333333333333333,,
2017-01-05,6,1,4,3,1.0,4.0,,
2017-01-05,7,9,18,3,5.666666666666667,7.333333333333333,,
2017-01-05,8,7,29,3,4.666666666666667,23.0,,
2017-01-05,9,5,19,3,8.333333333333334,13.666666666666666,,
2017-01-05,10,10,13,3,5.666666666666667,7.333333333333333,,
2017-01-05,11,10,11,3,4.0,8.0,,
2017-01-05,12,9,16,3,7.333333333333333,8.333333333333334,,
2017-01-05,13,12,10,3,6.0,7.0,,
2017-01-05,14,10,6,3,9.0,7.0,,
2017-01-05,15,7,11,3,9.0,8.666666666666666,,
2017-01-05,16,17,12,3,8.666666666666666,9.666666666666666,,
2017-01-05,17,17,14,3,17.0,12.0,,
2017-01-05,18,36,22,3,13.666666666666666,10.666666666666666,,
2017-01-05,19,26,19,3,10.666666666666666,7.0,,
2017-01-05,20,7,3,3,5.666666666666667,4.666666666666667,,
2017-01-05,21,8,3,3,5.0,2.0,,
2017-01-05,22,3,0,3,0.6666666666666666,0.3333333333333333,,
2017-01-05,23,3,0,3,0.3333333333333333,0.0,,
2017-01-06,0,1,0,4,0.5,1.0,,
2017-01-06,1,0,0,4,0.0,0.75,,
2017-01-06,2,0,0,4,0.0,0.25,,
2017-01-06,3,0,0,4,0.0,1.0,,
2017-01-06,4,1,0,4,0.0,0.0,,
2017-01-06,5,0,2,4,0.0,1.5,,
2017-01-06,6,0,0,4,1.0,4.0,,
2017-01-06,7,6,9,4,6.5,10.0,,
2017-01-06,8,10,25,4,5.25,24.5,,
2017-01-06,9,6,24,4,7.5,15.0,,
2017-01-06,10,5,10,4,6.75,8.75,,
2017-01-06,11,11,10,4,5.5,8.75,,
2017-01-06,12,6,14,4,7.75,10.25,,
2017-01-06,13,9,9,4,7.5,7.75,,
2017-01-06,14,13,12,4,9.25,6.75,,
2017-01-06,15,9,15,4,8.5,9.25,,
2017-01-06,16,7,7,4,10.75,10.25,,
2017-01-06,17,23,14,4,17.0,12.5,,
2017-01-06,18,33,12,4,19.25,13.5,,
2017-01-06,19,17,14,4,14.5,10.0,,
2017-01-06,20,10,5,4,6.0,4.25,,
2017-01-06,21,1,3,4,5.75,2.25,,
2017-01-06,22,3,4,4,1.25,0.25,,
2017-01-06,23,0,2,4,1.0,0.0,,
2017-01-07,0,3,0,5,1.0,2.0,,
2017-01-07,1,1,0,5,1.0,1.0,,
2017-01-07,2,0,0,5,1.0,0.0,,
2017-01-07,3,0,1,5,1.0,1.0,,
2017-01-07,4,0,0,5,1.0,0.0,,
2017-01-07,5,0,1,5,0.0,0.0,,
2017-01-07,6,0,3,5,0.0,0.0,,
2017-01-07,7,1,1,5,0.0,0.0,,
2017-01-07,8,1,5,5,0.0,0.0,,
2017-01-07,9,4,9,5,0.0,2.0,,
2017-01-07,10,4,4,5,2.0,5.0,,
2017-01-07,11,1,2,5,2.0,5.0,,
2017-01-07,12,0,2,5,7.0,7.0,,
2017-01-07,13,4,4,5,6.0,6.0,,
2017-01-07,14,3,1,5,11.0,8.0,,
2017-01-07,15,1,1,5,11.0,15.0,,
2017-01-07,16,0,3,5,9.0,5.0,,
2017-01-07,17,1,1,5,10.0,5.0,,
2017-01-07,18,2,1,5,3.0,9.0,,
2017-01-07,19,1,2,5,5.0,1.0,,
2017-01-07,20,2,1,5,1.0,3.0,,
2017-01-07,21,0,0,5,4.0,1.0,,
2017-01-07,22,0,1,5,3.0,1.0,,
2017-01-07,23,1,0,5,0.0,0.0,,
2017-01-08,0,0,1,6,2.0,1.0,,
2017-01-08,1,0,0,6,1.0,0.5,,
2017-01-08,2,0,0,6,0.5,0.0,,
2017-01-08,3,0,0,6,0.5,1.0,,
2017-01-08,4,0,0,6,0.5,0.0,,
2017-01-08,5,0,1,6,0.0,0.5,,
2017-01-08,6,0,0,6,0.0,1.5,,
2017-01-08,7,0,0,6,0.5,0.5,,
2017-01-08,8,0,0,6,0.5,2.5,,
2017-01-08,9,1,3,6,2.0,5.5,,
2017-01-08,10,2,2,6,3.0,4.5,,
2017-01-08,11,6,5,6,1.5,3.5,,
2017-01-08,12,5,4,6,3.5,4.5,,
2017-01-08,13,4,5,6,5.0,5.0,,
2017-01-08,14,3,4,6,7.0,4.5,,
2017-01-08,15,14,8,6,6.0,8.0,,
2017-01-08,16,6,3,6,4.5,4.0,,
2017-01-08,17,2,2,6,5.5,3.0,,
2017-01-08,18,3,4,6,2.5,5.0,,
2017-01-08,19,2,1,6,3.0,1.5,,
2017-01-08,20,2,3,6,1.5,2.0,,
2017-01-08,21,3,1,6,2.0,0.5,,
2017-01-08,22,0,2,6,1.5,1.0,,
2017-01-08,23,1,1,6,0.5,0.0,,
2017-01-09,0,0,0,0,0.6,0.8,,
2017-01-09,1,0,0,0,0.0,0.6,,
2017-01-09,2,0,0,0,0.0,0.2,,
2017-01-09,3,0,0,0,0.0,0.8,,
2017-01-09,4,0,2,0,0.2,0.0,,
2017-01-09,5,0,1,0,0.0,1.6,,
2017-01-09,6,2,3,0,0.8,3.2,,
2017-01-09,7,2,5,0,6.4,9.8,,
2017-01-09,8,7,15,0,6.2,24.6,,
2017-01-09,9,9,16,0,7.2,16.8,,
2017-01-09,10,2,7,0,6.4,9.0,,
2017-01-09,11,3,7,0,6.6,9.0,,
2017-01-09,12,3,2,0,7.4,11.0,,
2017-01-09,13,5,5,0,7.8,8.0,,
2017-01-09,14,5,5,0,10.0,7.8,,
2017-01-09,15,5,6,0,8.6,10.4,,
2017-01-09,16,4,11,0,10.0,9.6,,
2017-01-09,17,13,6,0,18.2,12.8,,
2017-01-09,18,14,5,0,22.0,13.2,,
2017-01-09,19,9,11,0,15.0,10.8,,
2017-01-09,20,10,2,0,6.8,4.4,,
2017-01-09,21,1,5,0,4.8,2.4,,
2017-01-09,22,1,0,0,1.6,1.0,,
2017-01-09,23,0,0,0,0.8,0.4,,
2017-01-10,0,1,1,1,0.5,0.6666666666666666,,
2017-01-10,1,0,0,1,0.0,0.5,,
2017-01-10,2,0,0,1,0.0,0.16666666666666666,,
2017-01-10,3,0,1,1,0.0,0.6666666666666666,,
2017-01-10,4,2,0,1,0.16666666666666666,0.3333333333333333,,
2017-01-10,5,0,4,1,0.0,1.5,,
2017-01-10,6,0,8,1,1.0,3.1666666666666665,,
2017-01-10,7,9,6,1,5.666666666666667,9.0,,
2017-01-10,8,5,32,1,6.333333333333333,23.0,,
2017-01-10,9,8,14,1,7.5,16.666666666666668,,
2017-01-10,10,6,10,1,5.666666666666667,8.666666666666666,,
2017-01-10,11,7,9,1,6.0,8.666666666666666,,
2017-01-10,12,13,14,1,6.666666666666667,9.5,,
2017-01-10,13,10,6,1,7.333333333333333,7.5,,
2017-01-10,14,7,7,1,9.166666666666666,7.333333333333333,,
2017-01-10,15,9,10,1,8.0,9.666666666666666,,
2017-01-10,16,12,12,1,9.0,9.833333333333334,,
2017-01-10,17,19,22,1,17.333333333333332,11.666666666666666,,
2017-01-10,18,30,14,1,20.666666666666668,11.833333333333334,,
2017-01-10,19,15,8,1,14.0,10.833333333333334,,
2017-01-10,20,13,7,1,7.333333333333333,4.0,,
2017-01-10,21,6,4,1,4.166666666666667,2.8333333333333335,,
2017-01-10,22,2,1,1,1.5,0.8333333333333334,,
2017-01-10,23,2,2,1,0.6666666666666666,0.3333333333333333,,
2017-01-11,0,0,2,2,0.5714285714285714,0.7142857142857143,,
2017-01-11,1,0,1,2,0.0,0.42857142857142855,,
2017-01-11,2,0,0,2,0.0,0.14285714285714285,,
2017-01-11,3,0,0,2,0.0,0.7142857142857143,,
2017-01-11,4,1,0,2,0.42857142857142855,0.2857142857142857,,
2017-01-11,5,1,3,2,0.0,1.8571428571428572,,
2017-01-11,6,1,2,2,0.8571428571428571,3.857142857142857,,
2017-01-11,7,11,13,2,6.142857142857143,8.571428571428571,,
2017-01-11,8,17,38,2,6.142857142857143,24.285714285714285,,
2017-01-11,9,15,28,2,7.571428571428571,16.285714285714285,,
2017-01-11,10,13,13,2,5.714285714285714,8.857142857142858,,
2017-01-11,11,11,20,2,6.142857142857143,8.714285714285714,,
2017-01-11,12,10,13,2,7.571428571428571,10.142857142857142,,
2017-01-11,13,15,16,2,7.714285714285714,7.285714285714286,,
2017-01-11,14,17,20,2,8.857142857142858,7.285714285714286,,
2017-01-11,15,11,9,2,8.142857142857142,9.714285714285714,,
2017-01-11,16,16,16,2,9.428571428571429,10.142857142857142,,
2017-01-11,17,24,25,2,17.571428571428573,13.142857142857142,,
2017-01-11,18,38,21,2,22.0,12.142857142857142,,
2017-01-11,19,31,17,2,14.142857142857142,10.428571428571429,,
2017-01-11,20,21,7,2,8.142857142857142,4.428571428571429,,
2017-01-11,21,10,2,2,4.428571428571429,3.0,,
2017-01-11,22,0,0,2,1.5714285714285714,0.8571428571428571,,
2017-01-11,23,0,1,2,0.8571428571428571,0.5714285714285714,,
2017-01-12,0,0,0,3,0.5,0.875,,
2017-01-12,1,0,0,3,0.0,0.5,,
2017-01-12,2,0,0,3,0.0,0.125,,
2017-01-12,3,0,0,3,0.0,0.625,,
2017-01-12,4,0,0,3,0.5,0.25,,
2017-01-12,5,0,1,3,0.125,2.0,,
2017-01-12,6,2,7,3,0.875,3.625,,
2017-01-12,7,10,15,3,6.75,9.125,,
2017-01-12,8,11,44,3,7.5,26.0,,
2017-01-12,9,10,29,3,8.5,17.75,,
2017-01-12,10,13,15,3,6.625,9.375,,
2017-01-12,11,9,7,3,6.75,10.125,,
2017-01-12,12,15,15,3,7.875,10.5,,
2017-01-12,13,13,18,3,8.625,8.375,,
2017-01-12,14,13,19,3,9.875,8.875,,
2017-01-12,15,18,18,3,8.5,9.625,,
2017-01-12,16,19,25,3,10.25,10.875,,
2017-01-12,17,39,28,3,18.375,14.625,,
2017-01-12,18,41,29,3,24.0,13.25,,
2017-01-12,19,31,24,3,16.25,11.25,,
2017-01-12,20,22,15,3,9.75,4.75,,
2017-01-12,21,9,3,3,5.125,2.875,,
2017-01-12,22,4,6,3,1.375,0.75,,
2017-01-12,23,2,2,3,0.75,0.625,,
2017-01-13,0,3,1,4,0.4444444444444444,0.7777777777777778,,
2017-01-13,1,0,0,4,0.0,0.4444444444444444,,
2017-01-13,2,0,0,4,0.0,0.1111111111111111,,
2017-01-13,3,0,0,4,0.0,0.5555555555555556,,
2017-01-13,4,0,0,4,0.4444444444444444,0.2222222222222222,,
2017-01-13,5,0,1,4,0.1111111111111111,1.8888888888888888,,
2017-01-13,6,0,4,4,1.0,4.0,,
2017-01-13,7,6,14,4,7.111111111111111,9.777777777777779,,
2017-01-13,8,14,45,4,7.888888888888889,28.0,,
2017-01-13,9,11,27,4,8.666666666666666,19.0,,
2017-01-13,10,8,17,4,7.333333333333333,10.0,,
2017-01-13,11,13,8,4,7.0,9.777777777777779,,
2017-01-13,12,12,22,4,8.666666666666666,11.0,,
2017-01-13,13,22,20,4,9.11111111111111,9.444444444444445,,
2017-01-13,14,17,13,4,10.222222222222221,10.0,,
2017-01-13,15,11,17,4,9.555555555555555,10.555555555555555,,
2017-01-13,16,18,20,4,11.222222222222221,12.444444444444445,,
2017-01-13,17,30,29,4,20.666666666666668,16.11111111111111,,
2017-01-13,18,21,26,4,25.88888888888889,15.0,,
2017-01-13,19,9,7,4,17.88888888888889,12.666666666666666,,
2017-01-13,20,6,8,4,11.11111111111111,5.888888888888889,,
2017-01-13,21,5,5,4,5.555555555555555,2.888888888888889,,
2017-01-13,22,8,0,4,1.6666666666666667,1.3333333333333333,,
2017-01-13,23,3,1,4,0.8888888888888888,0.7777777777777778,,
2017-01-14,0,3,0,5,1.3333333333333333,1.0,,
2017-01-14,1,1,3,5,0.6666666666666666,0.3333333333333333,,
2017-01-14,2,0,0,5,0.3333333333333333,0.0,,
2017-01-14,3,0,1,5,0.3333333333333333,0.6666666666666666,,
2017-01-14,4,0,0,5,0.3333333333333333,0.0,,
2017-01-14,5,0,0,5,0.0,0.6666666666666666,,
2017-01-14,6,0,0,5,0.0,1.0,,
2017-01-14,7,0,0,5,0.3333333333333333,0.3333333333333333,,
