date,hour,count_pickup,count_return,day_of_week,historical_average_pickup,historical_average_return,monthly_historical_average_pickup,monthly_historical_average_return
2017-01-01,0,0,2,6,,,,
2017-01-01,1,5,0,6,,,,
2017-01-01,2,1,0,6,,,,
2017-01-01,3,2,0,6,,,,
2017-01-01,4,0,1,6,,,,
2017-01-01,5,0,0,6,,,,
2017-01-01,6,0,0,6,,,,
2017-01-01,7,0,0,6,,,,
2017-01-01,8,0,2,6,,,,
2017-01-01,9,1,1,6,,,,
2017-01-01,10,1,3,6,,,,
2017-01-01,11,2,7,6,,,,
2017-01-01,12,5,5,6,,,,
2017-01-01,13,2,5,6,,,,
2017-01-01,14,3,3,6,,,,
2017-01-01,15,6,4,6,,,,
2017-01-01,16,5,5,6,,,,
2017-01-01,17,5,4,6,,,,
2017-01-01,18,1,2,6,,,,
2017-01-01,19,2,2,6,,,,
2017-01-01,20,0,2,6,,,,
2017-01-01,21,0,0,6,,,,
2017-01-01,22,2,0,6,,,,
2017-01-01,23,1,1,6,,,,
2017-01-02,0,1,0,0,,,,
2017-01-02,1,0,0,0,,,,
2017-01-02,2,0,0,0,,,,
2017-01-02,3,0,0,0,,,,
2017-01-02,4,0,1,0,,,,
2017-01-02,5,0,0,0,,,,
2017-01-02,6,0,1,0,,,,
2017-01-02,7,1,2,0,,,,
2017-01-02,8,2,0,0,,,,
2017-01-02,9,2,2,0,,,,
2017-01-02,10,5,4,0,,,,
2017-01-02,11,9,9,0,,,,
2017-01-02,12,2,5,0,,,,
2017-01-02,13,5,1,0,,,,
2017-01-02,14,2,2,0,,,,
2017-01-02,15,2,1,0,,,,
2017-01-02,16,3,5,0,,,,
2017-01-02,17,2,3,0,,,,
2017-01-02,18,1,3,0,,,,
2017-01-02,19,4,0,0,,,,
2017-01-02,20,3,1,0,,,,
2017-01-02,21,1,0,0,,,,
2017-01-02,22,2,0,0,,,,
2017-01-02,23,1,0,0,,,,
2017-01-03,0,0,0,1,1.0,0.0,,
2017-01-03,1,0,0,1,0.0,0.0,,
2017-01-03,2,0,0,1,0.0,0.0,,
2017-01-03,3,0,0,1,0.0,0.0,,
2017-01-03,4,0,1,1,0.0,1.0,,
2017-01-03,5,0,2,1,0.0,0.0,,
2017-01-03,6,2,3,1,0.0,1.0,,
2017-01-03,7,4,9,1,1.0,2.0,,
2017-01-03,8,7,8,1,2.0,0.0,,
2017-01-03,9,8,5,1,2.0,2.0,,
2017-01-03,10,5,5,1,5.0,4.0,,
2017-01-03,11,0,3,1,9.0,9.0,,
2017-01-03,12,2,1,1,2.0,5.0,,
2017-01-03,13,0,1,1,5.0,1.0,,
2017-01-03,14,1,0,1,2.0,2.0,,
2017-01-03,15,1,1,1,2.0,1.0,,
2017-01-03,16,0,1,1,3.0,5.0,,
2017-01-03,17,10,4,1,2.0,3.0,,
2017-01-03,18,8,7,1,1.0,3.0,,
2017-01-03,19,11,2,1,4.0,0.0,,
2017-01-03,20,6,5,1,3.0,1.0,,
2017-01-03,21,7,2,1,1.0,0.0,,
2017-01-03,22,2,2,1,2.0,0.0,,
2017-01-03,23,1,0,1,1.0,0.0,,
2017-01-04,0,1,1,2,0.5,0.0,,
2017-01-04,1,0,0,2,0.0,0.0,,
2017-01-04,2,0,0,2,0.0,0.0,,
2017-01-04,3,0,0,2,0.0,0.0,,
2017-01-04,4,0,1,2,0.0,1.0,,
2017-01-04,5,0,2,2,0.0,1.0,,
2017-01-04,6,3,8,2,1.0,2.0,,
2017-01-04,7,11,9,2,2.5,5.5,,
2017-01-04,8,17,16,2,4.5,4.0,,
2017-01-04,9,17,15,2,5.0,3.5,,
2017-01-04,10,10,12,2,5.0,4.5,,
2017-01-04,11,7,3,2,4.5,6.0,,
2017-01-04,12,6,11,2,2.0,3.0,,
2017-01-04,13,7,11,2,2.5,1.0,,
2017-01-04,14,3,6,2,1.5,1.0,,
2017-01-04,15,1,4,2,1.5,1.0,,
2017-01-04,16,18,14,2,1.5,3.0,,
2017-01-04,17,21,15,2,6.0,3.5,,
2017-01-04,18,12,13,2,4.5,5.0,,
2017-01-04,19,20,19,2,7.5,1.0,,
2017-01-04,20,7,5,2,4.5,3.0,,
2017-01-04,21,1,2,2,4.0,1.0,,
2017-01-04,22,2,1,2,2.0,1.0,,
2017-01-04,23,0,0,2,1.0,0.0,,
2017-01-05,0,0,0,3,0.6666666666666666,0.3333333333333333,,
2017-01-05,1,0,1,3,0.0,0.0,,
2017-01-05,2,1,1,3,0.0,0.0,,
2017-01-05,3,1,0,3,0.0,0.0,,
2017-01-05,4,0,0,3,0.0,1.0,,
2017-01-05,5,0,3,3,0.0,1.3333333333333333,,
2017-01-05,6,4,3,3,1.6666666666666667,4.0,,
2017-01-05,7,11,10,3,5.333333333333333,6.666666666666667,,
