date,hour,count_pickup,count_return,day_of_week,historical_average_pickup,historical_average_return,monthly_historical_average_pickup,monthly_historical_average_return
2017-01-01,0,2,4,6,,,,
2017-01-01,1,0,1,6,,,,
2017-01-01,2,4,0,6,,,,
2017-01-01,3,2,1,6,,,,
2017-01-01,4,0,0,6,,,,
2017-01-01,5,0,0,6,,,,
2017-01-01,6,0,1,6,,,,
2017-01-01,7,0,0,6,,,,
2017-01-01,8,0,0,6,,,,
2017-01-01,9,1,2,6,,,,
2017-01-01,10,1,3,6,,,,
2017-01-01,11,3,5,6,,,,
2017-01-01,12,8,5,6,,,,
2017-01-01,13,5,6,6,,,,
2017-01-01,14,6,9,6,,,,
2017-01-01,15,9,11,6,,,,
2017-01-01,16,7,6,6,,,,
2017-01-01,17,5,4,6,,,,
2017-01-01,18,7,9,6,,,,
2017-01-01,19,3,1,6,,,,
2017-01-01,20,4,3,6,,,,
2017-01-01,21,2,0,6,,,,
2017-01-01,22,4,4,6,,,,
2017-01-01,23,5,1,6,,,,
2017-01-02,0,0,0,0,,,,
2017-01-02,1,1,1,0,,,,
2017-01-02,2,1,0,0,,,,
2017-01-02,3,0,0,0,,,,
2017-01-02,4,0,0,0,,,,
2017-01-02,5,0,0,0,,,,
2017-01-02,6,2,1,0,,,,
2017-01-02,7,0,2,0,,,,
2017-01-02,8,0,3,0,,,,
2017-01-02,9,2,1,0,,,,
2017-01-02,10,5,3,0,,,,
2017-01-02,11,4,9,0,,,,
2017-01-02,12,3,4,0,,,,
2017-01-02,13,2,4,0,,,,
2017-01-02,14,3,2,0,,,,
2017-01-02,15,3,7,0,,,,
2017-01-02,16,2,4,0,,,,
2017-01-02,17,4,5,0,,,,
2017-01-02,18,3,4,0,,,,
2017-01-02,19,5,7,0,,,,
2017-01-02,20,2,3,0,,,,
2017-01-02,21,6,0,0,,,,
2017-01-02,22,3,1,0,,,,
2017-01-02,23,0,0,0,,,,
2017-01-03,0,0,1,1,0.0,0.0,,
2017-01-03,1,0,0,1,1.0,1.0,,
2017-01-03,2,0,0,1,1.0,0.0,,
2017-01-03,3,0,0,1,0.0,0.0,,
2017-01-03,4,0,0,1,0.0,0.0,,
2017-01-03,5,0,0,1,0.0,0.0,,
2017-01-03,6,4,6,1,2.0,1.0,,
2017-01-03,7,4,8,1,0.0,2.0,,
2017-01-03,8,9,16,1,0.0,3.0,,
2017-01-03,9,4,9,1,2.0,1.0,,
2017-01-03,10,3,6,1,5.0,3.0,,
2017-01-03,11,1,2,1,4.0,9.0,,
2017-01-03,12,1,2,1,3.0,4.0,,
2017-01-03,13,0,0,1,2.0,4.0,,
2017-01-03,14,3,1,1,3.0,2.0,,
2017-01-03,15,0,1,1,3.0,7.0,,
2017-01-03,16,6,3,1,2.0,4.0,,
2017-01-03,17,5,5,1,4.0,5.0,,
2017-01-03,18,6,7,1,3.0,4.0,,
2017-01-03,19,8,8,1,5.0,7.0,,
2017-01-03,20,7,4,1,2.0,3.0,,
2017-01-03,21,2,2,1,6.0,0.0,,
2017-01-03,22,1,3,1,3.0,1.0,,
2017-01-03,23,1,0,1,0.0,0.0,,
2017-01-04,0,1,1,2,0.0,0.5,,
2017-01-04,1,2,1,2,0.5,0.5,,
2017-01-04,2,0,0,2,0.5,0.0,,
2017-01-04,3,0,0,2,0.0,0.0,,
2017-01-04,4,0,0,2,0.0,0.0,,
2017-01-04,5,1,2,2,0.0,0.0,,
2017-01-04,6,2,5,2,3.0,3.5,,
2017-01-04,7,9,16,2,2.0,5.0,,
2017-01-04,8,29,16,2,4.5,9.5,,
2017-01-04,9,14,15,2,3.0,5.0,,
2017-01-04,10,5,8,2,4.0,4.5,,
2017-01-04,11,7,5,2,2.5,5.5,,
2017-01-04,12,5,3,2,2.0,3.0,,
