date,hour,count_pickup,count_return,day_of_week,historical_average_pickup,historical_average_return,monthly_historical_average_pickup,monthly_historical_average_return
2017-01-01,0,1,0,6,,,,
2017-01-01,1,0,3,6,,,,
2017-01-01,2,0,2,6,,,,
2017-01-01,3,1,1,6,,,,
2017-01-01,4,0,1,6,,,,
2017-01-01,5,0,0,6,,,,
2017-01-01,6,0,0,6,,,,
2017-01-01,7,0,0,6,,,,
2017-01-01,8,3,1,6,,,,
2017-01-01,9,0,0,6,,,,
2017-01-01,10,4,2,6,,,,
2017-01-01,11,3,1,6,,,,
2017-01-01,12,3,3,6,,,,
2017-01-01,13,10,8,6,,,,
2017-01-01,14,6,5,6,,,,
2017-01-01,15,3,5,6,,,,
2017-01-01,16,3,4,6,,,,
2017-01-01,17,5,8,6,,,,
2017-01-01,18,2,6,6,,,,
2017-01-01,19,3,8,6,,,,
2017-01-01,20,0,3,6,,,,
2017-01-01,21,0,1,6,,,,
2017-01-01,22,2,4,6,,,,
2017-01-01,23,1,1,6,,,,
2017-01-02,0,0,1,0,,,,
2017-01-02,1,2,0,0,,,,
2017-01-02,2,0,0,0,,,,
2017-01-02,3,0,1,0,,,,
2017-01-02,4,0,0,0,,,,
2017-01-02,5,0,0,0,,,,
2017-01-02,6,0,0,0,,,,
2017-01-02,7,0,0,0,,,,
2017-01-02,8,0,1,0,,,,
2017-01-02,9,0,4,0,,,,
2017-01-02,10,3,5,0,,,,
2017-01-02,11,5,3,0,,,,
2017-01-02,12,1,4,0,,,,
2017-01-02,13,1,4,0,,,,
2017-01-02,14,1,1,0,,,,
2017-01-02,15,4,2,0,,,,
2017-01-02,16,0,0,0,,,,
2017-01-02,17,2,0,0,,,,
2017-01-02,18,1,2,0,,,,
2017-01-02,19,3,2,0,,,,
2017-01-02,20,4,3,0,,,,
2017-01-02,21,3,1,0,,,,
2017-01-02,22,3,1,0,,,,
2017-01-02,23,1,0,0,,,,
2017-01-03,0,0,0,1,0.0,1.0,,
2017-01-03,1,0,0,1,2.0,0.0,,
2017-01-03,2,1,1,1,0.0,0.0,,
2017-01-03,3,0,1,1,0.0,1.0,,
2017-01-03,4,0,0,1,0.0,0.0,,
2017-01-03,5,1,0,1,0.0,0.0,,
2017-01-03,6,2,1,1,0.0,0.0,,
2017-01-03,7,5,0,1,0.0,0.0,,
2017-01-03,8,13,2,1,0.0,1.0,,
2017-01-03,9,5,2,1,0.0,4.0,,
2017-01-03,10,1,2,1,3.0,5.0,,
2017-01-03,11,1,0,1,5.0,3.0,,
2017-01-03,12,2,0,1,1.0,4.0,,
2017-01-03,13,0,0,1,1.0,4.0,,
2017-01-03,14,1,2,1,1.0,1.0,,
2017-01-03,15,0,1,1,4.0,2.0,,
2017-01-03,16,1,1,1,0.0,0.0,,
2017-01-03,17,1,11,1,2.0,0.0,,
2017-01-03,18,5,0,1,1.0,2.0,,
2017-01-03,19,1,3,1,3.0,2.0,,
2017-01-03,20,4,4,1,4.0,3.0,,
2017-01-03,21,2,2,1,3.0,1.0,,
2017-01-03,22,0,1,1,3.0,1.0,,
2017-01-03,23,2,0,1,1.0,0.0,,
2017-01-04,0,1,0,2,0.0,0.5,,
2017-01-04,1,1,0,2,1.0,0.0,,
2017-01-04,2,0,0,2,0.5,0.5,,
2017-01-04,3,0,0,2,0.0,1.0,,
2017-01-04,4,1,0,2,0.0,0.0,,
2017-01-04,5,2,0,2,0.5,0.0,,
2017-01-04,6,5,0,2,1.0,0.5,,
2017-01-04,7,3,4,2,2.5,0.0,,
2017-01-04,8,6,5,2,6.5,1.5,,
2017-01-04,9,3,3,2,2.5,3.0,,
2017-01-04,10,6,8,2,2.0,3.5,,
2017-01-04,11,2,0,2,3.0,1.5,,
2017-01-04,12,3,3,2,1.5,2.0,,
2017-01-04,13,6,7,2,0.5,2.0,,
2017-01-04,14,7,11,2,1.0,1.5,,
2017-01-04,15,4,2,2,2.0,1.5,,
2017-01-04,16,5,2,2,0.5,0.5,,
2017-01-04,17,5,10,2,1.5,5.5,,
2017-01-04,18,4,7,2,3.0,1.0,,
2017-01-04,19,8,7,2,2.0,2.5,,
2017-01-04,20,2,9,2,4.0,3.5,,
2017-01-04,21,3,3,2,2.5,1.5,,
2017-01-04,22,1,2,2,1.5,1.0,,
2017-01-04,23,2,0,2,1.5,0.0,,
2017-01-05,0,0,0,3,0.3333333333333333,0.3333333333333333,,
2017-01-05,1,1,0,3,1.0,0.0,,
2017-01-05,2,0,0,3,0.3333333333333333,0.3333333333333333,,
2017-01-05,3,0,0,3,0.0,0.6666666666666666,,
2017-01-05,4,2,0,3,0.3333333333333333,0.0,,
2017-01-05,5,2,0,3,1.0,0.0,,
2017-01-05,6,0,1,3,2.3333333333333335,0.3333333333333333,,
2017-01-05,7,5,3,3,2.6666666666666665,1.3333333333333333,,
2017-01-05,8,8,1,3,6.333333333333333,2.6666666666666665,,
2017-01-05,9,1,1,3,2.6666666666666665,3.0,,
2017-01-05,10,5,5,3,3.3333333333333335,5.0,,
2017-01-05,11,2,5,3,2.6666666666666665,1.0,,
2017-01-05,12,3,2,3,2.0,2.3333333333333335,,
2017-01-05,13,3,7,3,2.3333333333333335,3.6666666666666665,,
2017-01-05,14,4,6,3,3.0,4.666666666666667,,
2017-01-05,15,4,3,3,2.6666666666666665,1.6666666666666667,,
2017-01-05,16,7,7,3,2.0,1.0,,
2017-01-05,17,4,5,3,2.6666666666666665,7.0,,
2017-01-05,18,6,5,3,3.3333333333333335,3.0,,
2017-01-05,19,2,13,3,4.0,4.0,,
2017-01-05,20,2,6,3,3.3333333333333335,5.333333333333333,,
2017-01-05,21,5,2,3,2.6666666666666665,2.0,,
2017-01-05,22,2,2,3,1.3333333333333333,1.3333333333333333,,
2017-01-05,23,1,1,3,1.6666666666666667,0.0,,
2017-01-06,0,0,0,4,0.25,0.25,,
2017-01-06,1,1,0,4,1.0,0.0,,
2017-01-06,2,0,0,4,0.25,0.25,,
2017-01-06,3,0,0,4,0.0,0.5,,
2017-01-06,4,2,0,4,0.75,0.0,,
2017-01-06,5,1,0,4,1.25,0.0,,
2017-01-06,6,3,0,4,1.75,0.5,,
2017-01-06,7,4,4,4,3.25,1.75,,
