date,hour,hourQuarter,count_pickup,count_return,day_of_week,historical_average_pickup,historical_average_return,monthly_historical_average_pickup,monthly_historical_average_return
2018-01-01,0,0,0,0,0,0.19047619047619047,0.42857142857142855,0.15,0.45
2018-01-01,0,1,0,0,0,0.09523809523809523,0.42857142857142855,0.1,0.4
2018-01-01,0,2,0,0,0,0.19047619047619047,0.047619047619047616,0.2,0.05
2018-01-01,0,3,0,0,0,0.3333333333333333,0.47619047619047616,0.35,0.45
2018-01-01,1,0,0,0,0,0.09523809523809523,0.3333333333333333,0.1,0.35
2018-01-01,1,1,0,2,0,0.09523809523809523,0.3333333333333333,0.1,0.35
2018-01-01,1,2,0,0,0,0.047619047619047616,0.14285714285714285,0.05,0.15
2018-01-01,1,3,0,2,0,0.09523809523809523,0.19047619047619047,0.1,0.15
2018-01-01,2,0,0,0,0,0.047619047619047616,0.047619047619047616,0.05,0.0
2018-01-01,2,1,0,0,0,0.047619047619047616,0.0,0.05,0.0
2018-01-01,2,2,1,0,0,0.14285714285714285,0.19047619047619047,0.15,0.2
2018-01-01,2,3,0,0,0,0.0,0.23809523809523808,0.0,0.25
2018-01-01,3,0,0,0,0,0.0,0.047619047619047616,0.0,0.05
2018-01-01,3,1,0,0,0,0.14285714285714285,0.09523809523809523,0.15,0.1
2018-01-01,3,2,0,0,0,0.38095238095238093,0.0,0.4,0.0
2018-01-01,3,3,0,0,0,0.23809523809523808,0.0,0.25,0.0
2018-01-01,4,0,0,0,0,0.38095238095238093,0.047619047619047616,0.4,0.05
2018-01-01,4,1,0,0,0,0.047619047619047616,0.0,0.05,0.0
2018-01-01,4,2,0,0,0,0.047619047619047616,0.0,0.05,0.0
2018-01-01,4,3,0,0,0,0.09523809523809523,0.0,0.1,0.0
2018-01-01,5,0,0,0,0,0.23809523809523808,0.047619047619047616,0.25,0.05
2018-01-01,5,1,0,0,0,0.2857142857142857,0.047619047619047616,0.3,0.05
2018-01-01,5,2,0,0,0,0.14285714285714285,0.09523809523809523,0.15,0.05
2018-01-01,5,3,0,0,0,0.14285714285714285,0.0,0.15,0.0
2018-01-01,6,0,0,0,0,0.14285714285714285,0.09523809523809523,0.15,0.1
2018-01-01,6,1,0,0,0,0.3333333333333333,0.09523809523809523,0.35,0.05
2018-01-01,6,2,0,0,0,0.9047619047619048,0.047619047619047616,0.75,0.05
2018-01-01,6,3,0,0,0,1.4285714285714286,0.3333333333333333,1.45,0.3
2018-01-01,7,0,0,0,0,2.0,0.047619047619047616,2.05,0.05
2018-01-01,7,1,0,0,0,2.380952380952381,0.42857142857142855,2.3,0.45
2018-01-01,7,2,0,0,0,3.238095238095238,0.5238095238095238,3.2,0.5
2018-01-01,7,3,0,1,0,3.238095238095238,0.9047619047619048,2.9,0.9
2018-01-01,8,0,0,0,0,5.333333333333333,1.2857142857142858,4.9,1.3
2018-01-01,8,1,0,0,0,4.0476190476190474,1.0,3.75,0.95
2018-01-01,8,2,0,1,0,5.666666666666667,0.5238095238095238,5.2,0.5
2018-01-01,8,3,0,0,0,3.0952380952380953,0.47619047619047616,3.25,0.5
2018-01-01,9,0,0,0,0,2.857142857142857,0.47619047619047616,3.0,0.5
2018-01-01,9,1,0,0,0,1.8095238095238095,0.47619047619047616,1.85,0.5
2018-01-01,9,2,0,0,0,1.4285714285714286,0.3333333333333333,1.5,0.35
2018-01-01,9,3,0,0,0,1.4285714285714286,0.8571428571428571,1.35,0.75
2018-01-01,10,0,0,0,0,0.9047619047619048,0.2857142857142857,0.95,0.3
2018-01-01,10,1,1,0,0,0.8095238095238095,0.5714285714285714,0.85,0.6
2018-01-01,10,2,1,0,0,0.8571428571428571,1.0476190476190477,0.9,1.0
2018-01-01,10,3,0,0,0,1.3333333333333333,0.8095238095238095,1.3,0.8
2018-01-01,11,0,0,0,0,1.0476190476190477,0.7619047619047619,1.0,0.75
2018-01-01,11,1,0,0,0,0.7619047619047619,0.8571428571428571,0.75,0.8
2018-01-01,11,2,1,0,0,0.9523809523809523,0.7142857142857143,0.95,0.75
2018-01-01,11,3,0,0,0,1.0952380952380953,0.7142857142857143,1.15,0.75
2018-01-01,12,0,0,0,0,0.5714285714285714,0.6190476190476191,0.6,0.6
2018-01-01,12,1,0,0,0,0.6190476190476191,0.8571428571428571,0.6,0.9
2018-01-01,12,2,0,1,0,1.0,0.6190476190476191,1.0,0.6
2018-01-01,12,3,0,0,0,0.7142857142857143,1.380952380952381,0.7,1.35
2018-01-01,13,0,0,0,0,1.1428571428571428,0.7619047619047619,1.15,0.75
2018-01-01,13,1,0,0,0,0.5714285714285714,0.8571428571428571,0.6,0.8
2018-01-01,13,2,0,0,0,1.0952380952380953,1.1428571428571428,1.05,1.2
2018-01-01,13,3,0,0,0,1.2380952380952381,1.380952380952381,1.25,1.4
2018-01-01,14,0,0,0,0,0.8095238095238095,1.4285714285714286,0.85,1.3
2018-01-01,14,1,1,1,0,1.0952380952380953,1.380952380952381,1.05,1.3
2018-01-01,14,2,1,0,0,1.4761904761904763,1.3333333333333333,1.35,1.2
2018-01-01,14,3,0,0,0,1.380952380952381,1.1904761904761905,1.4,1.25
2018-01-01,15,0,0,0,0,1.0952380952380953,1.5238095238095237,1.1,1.55
2018-01-01,15,1,1,0,0,0.9047619047619048,1.5714285714285714,0.95,1.6
2018-01-01,15,2,0,0,0,1.1904761904761905,1.1904761904761905,1.2,1.25
2018-01-01,15,3,0,0,0,1.2380952380952381,2.142857142857143,1.15,2.05
2018-01-01,16,0,0,0,0,1.1904761904761905,1.6666666666666667,1.15,1.65
2018-01-01,16,1,0,0,0,1.8571428571428572,1.619047619047619,1.85,1.55
2018-01-01,16,2,0,0,0,1.1428571428571428,1.9047619047619047,1.2,1.75
2018-01-01,16,3,1,0,0,1.380952380952381,2.4761904761904763,1.4,2.5
2018-01-01,17,0,0,1,0,1.2857142857142858,2.0476190476190474,1.3,2.0
2018-01-01,17,1,1,0,0,1.8095238095238095,2.9047619047619047,1.85,2.85
2018-01-01,17,2,0,2,0,1.3333333333333333,3.3333333333333335,1.35,3.1
2018-01-01,17,3,0,0,0,0.9047619047619048,2.6666666666666665,0.85,2.6
2018-01-01,18,0,0,0,0,1.7619047619047619,3.5714285714285716,1.5,3.4
2018-01-01,18,1,1,0,0,1.4285714285714286,4.285714285714286,1.5,4.15
2018-01-01,18,2,0,0,0,1.0476190476190477,4.190476190476191,1.05,3.85
2018-01-01,18,3,0,0,0,1.0,4.619047619047619,1.05,4.35
