date,hour,hourQuarter,count_pickup,count_return,day_of_week,historical_average_pickup,historical_average_return,monthly_historical_average_pickup,monthly_historical_average_return
2018-01-01,0,0,0,0,0,0.42857142857142855,0.19047619047619047,0.35,0.2
2018-01-01,0,1,0,0,0,0.5238095238095238,0.19047619047619047,0.55,0.2
2018-01-01,0,2,0,0,0,0.3333333333333333,0.09523809523809523,0.35,0.1
2018-01-01,0,3,1,0,0,0.3333333333333333,0.3333333333333333,0.35,0.35
2018-01-01,1,0,1,1,0,0.09523809523809523,0.38095238095238093,0.1,0.4
2018-01-01,1,1,1,0,0,0.09523809523809523,0.19047619047619047,0.1,0.2
2018-01-01,1,2,0,0,0,0.047619047619047616,0.2857142857142857,0.05,0.3
2018-01-01,1,3,0,0,0,0.14285714285714285,0.19047619047619047,0.1,0.2
2018-01-01,2,0,0,0,0,0.047619047619047616,0.19047619047619047,0.0,0.2
2018-01-01,2,1,0,0,0,0.09523809523809523,0.09523809523809523,0.1,0.1
2018-01-01,2,2,0,0,0,0.0,0.047619047619047616,0.0,0.05
2018-01-01,2,3,0,0,0,0.09523809523809523,0.0,0.1,0.0
2018-01-01,3,0,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,3,1,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,3,2,0,1,0,0.09523809523809523,0.0,0.1,0.0
2018-01-01,3,3,0,0,0,0.23809523809523808,0.0,0.25,0.0
2018-01-01,4,0,0,0,0,0.19047619047619047,0.0,0.2,0.0
2018-01-01,4,1,0,0,0,0.09523809523809523,0.0,0.1,0.0
2018-01-01,4,2,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,4,3,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,5,0,0,0,0,0.0,0.047619047619047616,0.0,0.05
2018-01-01,5,1,0,0,0,0.09523809523809523,0.3333333333333333,0.1,0.35
2018-01-01,5,2,0,0,0,0.047619047619047616,0.14285714285714285,0.05,0.15
2018-01-01,5,3,0,0,0,0.09523809523809523,0.5238095238095238,0.1,0.55
2018-01-01,6,0,0,0,0,0.47619047619047616,1.1428571428571428,0.45,1.0
2018-01-01,6,1,1,0,0,0.5714285714285714,1.4761904761904763,0.6,1.55
2018-01-01,6,2,1,0,0,0.7619047619047619,1.0952380952380953,0.8,1.05
2018-01-01,6,3,0,0,0,1.1428571428571428,1.4285714285714286,1.15,1.35
2018-01-01,7,0,0,0,0,0.47619047619047616,0.8571428571428571,0.5,0.7
2018-01-01,7,1,0,0,0,1.1428571428571428,0.9523809523809523,1.15,0.95
2018-01-01,7,2,0,0,0,1.4285714285714286,2.0476190476190474,1.35,2.1
2018-01-01,7,3,0,0,0,2.619047619047619,2.857142857142857,2.4,2.8
2018-01-01,8,0,0,0,0,2.380952380952381,3.0952380952380953,2.45,3.15
2018-01-01,8,1,0,0,0,2.857142857142857,2.0,2.8,1.9
2018-01-01,8,2,0,0,0,4.238095238095238,2.7142857142857144,4.0,2.75
2018-01-01,8,3,0,0,0,3.0,4.476190476190476,2.95,4.35
2018-01-01,9,0,0,0,0,3.4761904761904763,2.142857142857143,3.4,2.25
2018-01-01,9,1,0,0,0,3.619047619047619,2.761904761904762,3.55,2.7
2018-01-01,9,2,0,0,0,1.9047619047619047,2.7142857142857144,1.8,2.65
2018-01-01,9,3,0,0,0,2.4761904761904763,2.4761904761904763,2.45,2.35
2018-01-01,10,0,0,0,0,1.7142857142857142,2.142857142857143,1.8,2.0
2018-01-01,10,1,0,0,0,2.1904761904761907,2.0476190476190474,2.25,2.0
2018-01-01,10,2,1,0,0,1.7142857142857142,1.9523809523809523,1.8,1.95
2018-01-01,10,3,0,1,0,1.6666666666666667,2.0476190476190474,1.5,2.0
2018-01-01,11,0,0,2,0,1.8095238095238095,2.1904761904761907,1.75,2.15
2018-01-01,11,1,0,0,0,1.380952380952381,1.380952380952381,1.35,1.35
2018-01-01,11,2,0,1,0,2.0,2.2857142857142856,1.75,2.0
2018-01-01,11,3,1,0,0,2.0476190476190474,2.0952380952380953,2.05,2.05
2018-01-01,12,0,0,2,0,2.3333333333333335,1.7619047619047619,2.35,1.8
2018-01-01,12,1,1,0,0,2.0476190476190474,2.4761904761904763,1.8,2.55
2018-01-01,12,2,0,0,0,1.8095238095238095,2.619047619047619,1.55,2.55
2018-01-01,12,3,0,0,0,1.5238095238095237,2.9047619047619047,1.35,2.8
