date,hour,hourQuarter,count_pickup,count_return,day_of_week,historical_average_pickup,historical_average_return,monthly_historical_average_pickup,monthly_historical_average_return
2018-01-01,0,0,0,0,0,0.3333333333333333,0.42857142857142855,0.3,0.45
2018-01-01,0,1,1,0,0,0.38095238095238093,0.7142857142857143,0.4,0.7
2018-01-01,0,2,0,0,0,0.38095238095238093,0.2857142857142857,0.4,0.3
2018-01-01,0,3,0,0,0,0.047619047619047616,0.8571428571428571,0.05,0.75
2018-01-01,1,0,0,0,0,0.42857142857142855,0.47619047619047616,0.35,0.5
2018-01-01,1,1,0,0,0,0.2857142857142857,0.09523809523809523,0.2,0.1
2018-01-01,1,2,0,0,0,0.23809523809523808,0.2857142857142857,0.25,0.3
2018-01-01,1,3,0,0,0,0.047619047619047616,0.09523809523809523,0.05,0.1
2018-01-01,2,0,0,0,0,0.09523809523809523,0.0,0.1,0.0
2018-01-01,2,1,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,2,2,0,0,0,0.14285714285714285,0.09523809523809523,0.15,0.1
2018-01-01,2,3,0,0,0,0.14285714285714285,0.0,0.15,0.0
2018-01-01,3,0,0,0,0,0.047619047619047616,0.0,0.05,0.0
2018-01-01,3,1,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,3,2,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,3,3,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,4,0,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,4,1,0,0,0,0.047619047619047616,0.0,0.05,0.0
2018-01-01,4,2,0,1,0,0.0,0.5238095238095238,0.0,0.5
2018-01-01,4,3,0,0,0,0.047619047619047616,0.23809523809523808,0.05,0.25
2018-01-01,5,0,0,0,0,0.14285714285714285,0.23809523809523808,0.15,0.25
2018-01-01,5,1,0,0,0,0.09523809523809523,0.2857142857142857,0.1,0.3
2018-01-01,5,2,0,0,0,1.2380952380952381,0.5238095238095238,1.25,0.5
2018-01-01,5,3,0,0,0,5.380952380952381,1.9523809523809523,5.6,2.05
2018-01-01,6,0,0,0,0,2.619047619047619,1.0476190476190477,2.6,1.0
2018-01-01,6,1,1,0,0,4.095238095238095,2.857142857142857,3.95,2.75
2018-01-01,6,2,0,0,0,3.5714285714285716,3.142857142857143,3.55,3.15
2018-01-01,6,3,0,0,0,4.238095238095238,3.8095238095238093,4.0,3.9
2018-01-01,7,0,0,0,0,5.857142857142857,7.142857142857143,5.85,7.3
2018-01-01,7,1,0,0,0,9.428571428571429,7.380952380952381,9.15,7.4
2018-01-01,7,2,1,0,0,8.952380952380953,7.333333333333333,8.85,7.3
2018-01-01,7,3,0,0,0,9.714285714285714,11.428571428571429,9.55,11.15
2018-01-01,8,0,0,1,0,11.952380952380953,11.476190476190476,11.65,11.05
2018-01-01,8,1,0,0,0,14.523809523809524,13.19047619047619,14.35,12.85
2018-01-01,8,2,0,0,0,18.952380952380953,17.80952380952381,18.85,17.65
2018-01-01,8,3,0,0,0,21.476190476190474,21.095238095238095,20.85,20.65
2018-01-01,9,0,0,0,0,15.571428571428571,20.904761904761905,14.85,20.1
2018-01-01,9,1,1,0,0,16.666666666666668,17.38095238095238,16.5,17.05
2018-01-01,9,2,0,0,0,9.238095238095237,13.238095238095237,9.2,12.85
2018-01-01,9,3,0,0,0,9.761904761904763,10.523809523809524,9.7,10.05
2018-01-01,10,0,0,1,0,5.857142857142857,6.666666666666667,5.9,6.55
2018-01-01,10,1,0,0,0,4.571428571428571,4.9523809523809526,4.6,4.7
2018-01-01,10,2,0,0,0,3.142857142857143,4.523809523809524,3.05,4.4
2018-01-01,10,3,1,0,0,3.142857142857143,3.2857142857142856,3.1,3.3
2018-01-01,11,0,0,1,0,2.619047619047619,2.761904761904762,2.5,2.85
2018-01-01,11,1,0,0,0,3.2857142857142856,2.4761904761904763,3.4,2.4
2018-01-01,11,2,3,0,0,3.142857142857143,2.5238095238095237,2.95,2.5
2018-01-01,11,3,0,1,0,2.5714285714285716,3.0952380952380953,2.6,3.05
2018-01-01,12,0,2,0,0,1.9047619047619047,2.9047619047619047,1.95,2.75
2018-01-01,12,1,0,1,0,3.0476190476190474,3.380952380952381,2.95,3.3
2018-01-01,12,2,1,0,0,2.8095238095238093,3.4285714285714284,2.7,3.35
2018-01-01,12,3,1,1,0,3.4761904761904763,2.857142857142857,3.45,2.95
2018-01-01,13,0,0,0,0,2.238095238095238,2.761904761904762,2.15,2.55
2018-01-01,13,1,1,0,0,3.1904761904761907,3.619047619047619,3.3,3.65
2018-01-01,13,2,0,1,0,3.0476190476190474,3.9523809523809526,3.0,4.05
2018-01-01,13,3,1,0,0,3.761904761904762,4.619047619047619,3.5,4.4
2018-01-01,14,0,1,0,0,3.238095238095238,3.5714285714285716,3.05,3.45
2018-01-01,14,1,0,0,0,2.9047619047619047,3.619047619047619,2.8,3.55
2018-01-01,14,2,0,2,0,3.238095238095238,4.428571428571429,3.3,4.5
2018-01-01,14,3,1,0,0,3.0952380952380953,4.142857142857143,3.05,4.15
2018-01-01,15,0,1,0,0,2.3333333333333335,3.857142857142857,2.3,3.85
2018-01-01,15,1,1,0,0,3.3333333333333335,4.571428571428571,3.35,4.7
2018-01-01,15,2,0,0,0,4.095238095238095,4.0,3.95,3.9
2018-01-01,15,3,0,2,0,4.809523809523809,6.0,4.9,6.05
2018-01-01,16,0,0,1,0,4.666666666666667,6.523809523809524,4.5,6.45
2018-01-01,16,1,1,0,0,5.095238095238095,5.714285714285714,5.1,5.8
2018-01-01,16,2,0,0,0,7.238095238095238,7.285714285714286,6.8,7.15
2018-01-01,16,3,3,1,0,8.0,8.380952380952381,7.8,8.3
2018-01-01,17,0,0,0,0,11.904761904761905,14.619047619047619,11.35,14.2
2018-01-01,17,1,1,1,0,10.714285714285714,15.285714285714286,10.2,14.65
2018-01-01,17,2,0,2,0,12.666666666666666,11.571428571428571,12.55,11.55
2018-01-01,17,3,0,0,0,13.285714285714286,13.095238095238095,12.9,12.95
2018-01-01,18,0,1,1,0,14.0,13.333333333333334,14.0,13.35
2018-01-01,18,1,0,0,0,13.047619047619047,12.238095238095237,12.7,11.85
2018-01-01,18,2,0,0,0,13.047619047619047,9.523809523809524,12.65,9.35
2018-01-01,18,3,0,1,0,10.238095238095237,7.285714285714286,9.8,7.3
2018-01-01,19,0,0,0,0,8.714285714285714,5.714285714285714,8.55,5.6
2018-01-01,19,1,0,2,0,8.285714285714286,5.333333333333333,8.25,5.4
2018-01-01,19,2,0,0,0,6.142857142857143,3.380952380952381,6.35,3.45
2018-01-01,19,3,0,0,0,4.333333333333333,4.904761904761905,4.55,5.15
2018-01-01,20,0,0,0,0,4.190476190476191,2.238095238095238,4.4,2.35
2018-01-01,20,1,0,0,0,3.5238095238095237,2.761904761904762,3.7,2.9
2018-01-01,20,2,0,0,0,2.9523809523809526,2.5714285714285716,3.1,2.7
