date,hour,hourQuarter,count_pickup,count_return,day_of_week,historical_average_pickup,historical_average_return,monthly_historical_average_pickup,monthly_historical_average_return
2018-01-01,0,0,0,0,0,0.42857142857142855,0.5238095238095238,0.45,0.55
2018-01-01,0,1,0,0,0,0.47619047619047616,0.38095238095238093,0.5,0.4
2018-01-01,0,2,0,0,0,0.2857142857142857,0.2857142857142857,0.3,0.2
2018-01-01,0,3,0,0,0,0.19047619047619047,0.5238095238095238,0.2,0.35
2018-01-01,1,0,0,0,0,0.047619047619047616,0.19047619047619047,0.05,0.1
2018-01-01,1,1,0,0,0,0.19047619047619047,0.3333333333333333,0.2,0.35
2018-01-01,1,2,1,0,0,0.09523809523809523,0.38095238095238093,0.1,0.4
2018-01-01,1,3,0,0,0,0.0,0.09523809523809523,0.0,0.1
2018-01-01,2,0,0,0,0,0.0,0.047619047619047616,0.0,0.05
2018-01-01,2,1,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,2,2,0,0,0,0.047619047619047616,0.09523809523809523,0.0,0.1
2018-01-01,2,3,0,0,0,0.047619047619047616,0.0,0.05,0.0
2018-01-01,3,0,0,0,0,0.09523809523809523,0.0,0.1,0.0
2018-01-01,3,1,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,3,2,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,3,3,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,4,0,0,0,0,0.09523809523809523,0.0,0.1,0.0
2018-01-01,4,1,0,0,0,0.0,0.0,0.0,0.0
2018-01-01,4,2,0,0,0,0.0,0.047619047619047616,0.0,0.05
2018-01-01,4,3,1,0,0,0.09523809523809523,0.0,0.1,0.0
2018-01-01,5,0,0,0,0,0.14285714285714285,0.0,0.15,0.0
2018-01-01,5,1,0,0,0,0.14285714285714285,0.0,0.15,0.0
2018-01-01,5,2,0,0,0,0.14285714285714285,0.14285714285714285,0.15,0.15
2018-01-01,5,3,0,0,0,0.7619047619047619,0.5714285714285714,0.7,0.55
2018-01-01,6,0,0,0,0,0.5714285714285714,0.09523809523809523,0.55,0.1
2018-01-01,6,1,0,1,0,0.5714285714285714,0.9047619047619048,0.6,0.9
2018-01-01,6,2,0,0,0,0.8095238095238095,0.19047619047619047,0.85,0.2
2018-01-01,6,3,0,0,0,1.8571428571428572,0.38095238095238093,1.85,0.35
